region,id,title,date_raw,start_date,end_date,source_region_raw,source_region
EMEA,2766,Valorant Champions 2026,"Sep 24 – Oct 18, 2026",2026-09-24,2026-10-18,mod-cn,cn
EMEA,2976,VCT 2026: EMEA Stage 2,"Jul 15 – Aug 31, 2026",2026-07-15,2026-08-31,mod-es,es
EMEA,2765,Valorant Masters London 2026,"Jun 6–21, 2026",2026-06-06,2026-06-21,mod-gb,gb
EMEA,2863,VCT 2026: EMEA Stage 1,"Apr 1 – May 18, 2026",2026-04-01,2026-05-18,mod-de,de
EMEA,2760,Valorant Masters Santiago 2026,"Mar 1–16, 2026",2026-03-01,2026-03-16,mod-cl,cl
EMEA,2684,VCT 2026: EMEA Kickoff,"Jan 20 – Feb 16, 2026",2026-01-20,2026-02-16,mod-de,de
EMEA,2283,Valorant Champions 2025,"Sep 12 – Oct 6, 2025",2025-09-12,2025-10-06,mod-fr,fr
EMEA,2498,VCT 2025: EMEA Stage 2,"Jul 16 – Sep 1, 2025",2025-07-16,2025-09-01,mod-de,de
EMEA,2282,Valorant Masters Toronto 2025,"Jun 8–22, 2025",2025-06-08,2025-06-22,mod-ca,ca
EMEA,2380,VCT 2025: EMEA Stage 1,"Mar 26 – May 19, 2025",2025-03-26,2025-05-19,mod-de,de
EMEA,2281,Valorant Masters Bangkok 2025,"Feb 20 – Mar 2, 2025",2025-02-20,2025-03-02,mod-th,th
EMEA,2276,VCT 2025: EMEA Kickoff,"Jan 15 – Feb 10, 2025",2025-01-15,2025-02-10,mod-de,de
EMEA,2094,Champions Tour 2024: EMEA Stage 2,"Jun 19 – Jul 20, 2024",2024-06-19,2024-07-20,mod-de,de
EMEA,1999,Champions Tour 2024: Masters Shanghai,"May 23 – Jun 9, 2024",2024-05-23,2024-06-09,mod-cn,cn
EMEA,1998,Champions Tour 2024: EMEA Stage 1,"Apr 4 – May 13, 2024",2024-04-04,2024-05-13,mod-de,de
EMEA,1921,Champions Tour 2024: Masters Madrid,"Mar 14–24, 2024",2024-03-14,2024-03-24,mod-es,es
EMEA,1925,Champions Tour 2024: EMEA Kickoff,"Feb 20 – Mar 2, 2024",2024-02-20,2024-03-02,mod-de,de
EMEA,1659,Champions Tour 2023: EMEA Last Chance Qualifier,"Jul 20–24, 2023",2023-07-20,2023-07-24,,
EMEA,1190,Champions Tour 2023: EMEA League,"Mar 27 – May 28, 2023",2023-03-27,2023-05-28,mod-de,de
EMEA,1015,Valorant Champions 2022,"Aug 31 – Sep 19, 2022",2022-08-31,2022-09-19,mod-tr,tr
EMEA,1117,Champions Tour EMEA: Last Chance Qualifier,"Aug 7–15, 2022",2022-08-07,2022-08-15,,
EMEA,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,"Jul 10–24, 2022",2022-07-10,2022-07-24,mod-dk,dk
EMEA,984,Champions Tour EMEA Stage 2: Challengers,"May 13 – Jun 27, 2022",2022-05-13,2022-06-27,,
EMEA,926,Valorant Champions Tour Stage 1: Masters Reykjavík,"Apr 10–24, 2022",2022-04-10,2022-04-24,mod-is,is
EMEA,885,Champions Tour Stage 1: EMEA Promotion,"Apr 1–10, 2022",2022-04-01,2022-04-10,,
EMEA,854,Champions Tour Stage 1: EMEA Challengers,"Feb 11 – Mar 28, 2022",2022-02-11,2022-03-28,,
EMEA,795,Champions Tour Europe Stage 1: Challengers 2,"Jan 17–24, 2022",2022-01-17,2022-01-24,,
EMEA,796,Champions Tour CIS Stage 1: Challengers 2,"Jan 17–24, 2022",2022-01-17,2022-01-24,,
EMEA,797,Champions Tour Turkey Stage 1: Challengers 2,"Jan 17–24, 2022",2022-01-17,2022-01-24,,
EMEA,792,Champions Tour Europe Stage 1: Challengers 1,"Jan 10–17, 2022",2022-01-10,2022-01-17,,
EMEA,793,Champions Tour Turkey Stage 1: Challengers 1,"Jan 10–17, 2022",2022-01-10,2022-01-17,,
EMEA,794,Champions Tour CIS Stage 1: Challengers 1,"Jan 10–17, 2022",2022-01-10,2022-01-17,,
