match_id,map_id,map_name,team_pick,ct_team,t_team,team_1,team_1_id,team_2,team_2_id,first_half_ct_win_rounds,first_half_t_win_rounds,second_half_ct_win_rounds,second_half_t_win_rounds,ot_team_ct_win,ot_team_t_win,map_winner,region
596399,244778,Abyss,ENVY,Evil Geniuses,ENVY,ENVY,427,Evil Geniuses,5248,10,2,7,3,0,0,Evil Geniuses,PACIFIC
596399,244779,Corrode,Evil Geniuses,ENVY,Evil Geniuses,ENVY,427,Evil Geniuses,5248,7,5,5,6,0,0,ENVY,PACIFIC
596399,244780,Bind,Decider,ENVY,Evil Geniuses,ENVY,427,Evil Geniuses,5248,7,5,4,6,0,0,ENVY,PACIFIC
596398,244775,Haven,Cloud9,Cloud9,LOUD,LOUD,6961,Cloud9,188,7,5,2,6,0,0,Cloud9,PACIFIC
596398,244776,Abyss,LOUD,Cloud9,LOUD,LOUD,6961,Cloud9,188,5,7,4,8,0,0,Cloud9,PACIFIC
596400,244781,Pearl,KRÜ Esports,FURIA,KRÜ Esports,KRÜ Esports,2355,FURIA,2406,5,7,6,5,0,0,KRÜ Esports,PACIFIC
596400,244782,Breeze,FURIA,FURIA,KRÜ Esports,KRÜ Esports,2355,FURIA,2406,5,7,1,8,0,0,FURIA,PACIFIC
596400,244783,Abyss,Decider,FURIA,KRÜ Esports,KRÜ Esports,2355,FURIA,2406,8,4,1,5,0,0,FURIA,PACIFIC
596401,244784,Bind,LEVIATÁN,LEVIATÁN,100 Thieves,100 Thieves,120,LEVIATÁN,2359,3,9,4,6,0,0,100 Thieves,PACIFIC
596401,244785,Pearl,100 Thieves,LEVIATÁN,100 Thieves,100 Thieves,120,LEVIATÁN,2359,5,7,3,8,0,0,LEVIATÁN,PACIFIC
596401,244786,Split,Decider,LEVIATÁN,100 Thieves,100 Thieves,120,LEVIATÁN,2359,6,6,7,3,0,0,100 Thieves,PACIFIC
596402,244787,Pearl,Cloud9,Cloud9,NRG,NRG,1034,Cloud9,188,2,10,3,0,0,0,NRG,PACIFIC
596402,244788,Breeze,NRG,NRG,Cloud9,NRG,1034,Cloud9,188,10,2,7,3,0,0,NRG,PACIFIC
596403,244790,Abyss,ENVY,MIBR,ENVY,MIBR,7386,ENVY,427,9,3,4,4,0,0,MIBR,PACIFIC
596403,244791,Corrode,MIBR,ENVY,MIBR,MIBR,7386,ENVY,427,2,10,3,9,0,0,MIBR,PACIFIC
596404,244793,Split,Sentinels,FURIA,Sentinels,Sentinels,2,FURIA,2406,9,3,2,4,0,0,FURIA,PACIFIC
596404,244794,Breeze,FURIA,Sentinels,FURIA,Sentinels,2,FURIA,2406,5,7,6,6,0,0,FURIA,PACIFIC
596405,244796,Bind,100 Thieves,100 Thieves,G2 Esports,G2 Esports,11058,100 Thieves,120,4,8,5,7,0,0,G2 Esports,PACIFIC
596405,244797,Corrode,G2 Esports,100 Thieves,G2 Esports,G2 Esports,11058,100 Thieves,120,11,1,2,2,0,0,100 Thieves,PACIFIC
596405,244798,Split,Decider,100 Thieves,G2 Esports,G2 Esports,11058,100 Thieves,120,2,10,3,6,0,0,G2 Esports,PACIFIC
