region,id,title,date_raw,start_date,end_date,source_region_raw,source_region
AMERICAS,2283,Valorant Champions 2025,"Sep 12 – Oct 6, 2025",2025-09-12,2025-10-06,mod-fr,fr
AMERICAS,2498,VCT 2025: EMEA Stage 2,"Jul 16 – Sep 1, 2025",2025-07-16,2025-09-01,mod-de,de
AMERICAS,2380,VCT 2025: EMEA Stage 1,"Mar 26 – May 19, 2025",2025-03-26,2025-05-19,mod-de,de
AMERICAS,2276,VCT 2025: EMEA Kickoff,"Jan 15 – Feb 10, 2025",2025-01-15,2025-02-10,mod-de,de
AMERICAS,2094,Champions Tour 2024: EMEA Stage 2,"Jun 19 – Jul 20, 2024",2024-06-19,2024-07-20,mod-de,de
AMERICAS,1998,Champions Tour 2024: EMEA Stage 1,"Apr 4 – May 13, 2024",2024-04-04,2024-05-13,mod-de,de
AMERICAS,1921,Champions Tour 2024: Masters Madrid,"Mar 14–24, 2024",2024-03-14,2024-03-24,mod-es,es
AMERICAS,1925,Champions Tour 2024: EMEA Kickoff,"Feb 20 – Mar 2, 2024",2024-02-20,2024-03-02,mod-de,de
AMERICAS,1659,Champions Tour 2023: EMEA Last Chance Qualifier,"Jul 20–24, 2023",2023-07-20,2023-07-24,,
AMERICAS,1190,Champions Tour 2023: EMEA League,"Mar 27 – May 28, 2023",2023-03-27,2023-05-28,mod-de,de
AMERICAS,1015,Valorant Champions 2022,"Aug 31 – Sep 19, 2022",2022-08-31,2022-09-19,mod-tr,tr
AMERICAS,1117,Champions Tour EMEA: Last Chance Qualifier,"Aug 7–15, 2022",2022-08-07,2022-08-15,,
AMERICAS,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,"Jul 10–24, 2022",2022-07-10,2022-07-24,mod-dk,dk
AMERICAS,984,Champions Tour EMEA Stage 2: Challengers,"May 13 – Jun 27, 2022",2022-05-13,2022-06-27,,
AMERICAS,926,Valorant Champions Tour Stage 1: Masters Reykjavík,"Apr 10–24, 2022",2022-04-10,2022-04-24,mod-is,is
AMERICAS,885,Champions Tour Stage 1: EMEA Promotion,"Apr 1–10, 2022",2022-04-01,2022-04-10,,
AMERICAS,854,Champions Tour Stage 1: EMEA Challengers,"Feb 11 – Mar 28, 2022",2022-02-11,2022-03-28,,
AMERICAS,795,Champions Tour Europe Stage 1: Challengers 2,"Jan 17–24, 2022",2022-01-17,2022-01-24,,
AMERICAS,796,Champions Tour CIS Stage 1: Challengers 2,"Jan 17–24, 2022",2022-01-17,2022-01-24,,
AMERICAS,797,Champions Tour Turkey Stage 1: Challengers 2,"Jan 17–24, 2022",2022-01-17,2022-01-24,,
AMERICAS,792,Champions Tour Europe Stage 1: Challengers 1,"Jan 10–17, 2022",2022-01-10,2022-01-17,,
AMERICAS,793,Champions Tour Turkey Stage 1: Challengers 1,"Jan 10–17, 2022",2022-01-10,2022-01-17,,
AMERICAS,794,Champions Tour CIS Stage 1: Challengers 1,"Jan 10–17, 2022",2022-01-10,2022-01-17,,
AMERICAS,559,Champions Tour EMEA: Last Chance Qualifier,"Oct 11–18, 2021",2021-10-11,2021-10-18,,
AMERICAS,466,Valorant Champions Tour Stage 3: Masters Berlin,"Sep 10–20, 2021",2021-09-10,2021-09-20,mod-de,de
AMERICAS,547,Champions Tour Stage 3: EMEA Challengers Playoffs,"Aug 12–23, 2021",2021-08-12,2021-08-23,,
AMERICAS,544,Champions Tour Europe Stage 3: Challengers 2,"Jul 20 – Aug 2, 2021",2021-07-20,2021-08-02,,
AMERICAS,545,Champions Tour Turkey Stage 3: Challengers 2,"Jul 20 – Aug 1, 2021",2021-07-20,2021-08-01,,
AMERICAS,546,Champions Tour CIS Stage 3: Challengers 2,"Jul 20 – Aug 1, 2021",2021-07-20,2021-08-01,,
AMERICAS,541,Champions Tour Europe Stage 3: Challengers 1,"Jun 28 – Jul 12, 2021",2021-06-28,2021-07-12,,
AMERICAS,542,Champions Tour Turkey Stage 3: Challengers 1,"Jun 28 – Jul 11, 2021",2021-06-28,2021-07-11,,
AMERICAS,543,Champions Tour CIS Stage 3: Challengers 1,"Jun 28 – Jul 11, 2021",2021-06-28,2021-07-11,,
AMERICAS,353,Valorant Champions Tour Stage 2: Masters Reykjavík,"May 24–31, 2021",2021-05-24,2021-05-31,mod-is,is
AMERICAS,376,Champions Tour Stage 2: EMEA Challengers Playoffs,"Apr 23 – May 3, 2021",2021-04-23,2021-05-03,,
AMERICAS,375,Champions Tour Europe Stage 2: Challengers 2,"Apr 10–19, 2021",2021-04-10,2021-04-19,,
AMERICAS,392,Champions Tour Turkey Stage 2: Challengers 2,"Apr 10–19, 2021",2021-04-10,2021-04-19,,
AMERICAS,388,Champions Tour Turkey Stage 2: Challengers 1,"Mar 30 – Apr 10, 2021",2021-03-30,2021-04-10,,
AMERICAS,387,Champions Tour CIS Stage 2: Challengers 1,"Mar 30 – Apr 10, 2021",2021-03-30,2021-04-10,,
AMERICAS,374,Champions Tour Europe Stage 2: Challengers 1,"Mar 30 – Apr 10, 2021",2021-03-30,2021-04-10,,
AMERICAS,334,Champions Tour Europe Stage 1: Masters,"Mar 12–22, 2021",2021-03-12,2021-03-22,,
AMERICAS,342,Champions Tour Turkey Stage 1: Masters,"Mar 12–22, 2021",2021-03-12,2021-03-22,,
AMERICAS,344,Champions Tour CIS Stage 1: Masters,"Mar 12–22, 2021",2021-03-12,2021-03-22,,
AMERICAS,391,Champions Tour CIS Stage 2: Challengers 2,"Apr 10 – Mar 19, 2021",2021-04-10,2021-03-19,,
AMERICAS,339,Champions Tour Turkey Stage 1: Challengers 3,"Mar 2–8, 2021",2021-03-02,2021-03-08,,
AMERICAS,328,Champions Tour Europe Stage 1: Challengers 3,"Mar 3–8, 2021",2021-03-03,2021-03-08,,
AMERICAS,343,Champions Tour CIS Stage 1: Challengers 3,"Mar 2–8, 2021",2021-03-02,2021-03-08,,
