region,id,title,date_raw,start_date,end_date,source_region_raw,source_region
PACIFIC,2766,Valorant Champions 2026,"Sep 24 – Oct 18, 2026",2026-09-24,2026-10-18,mod-cn,cn
PACIFIC,2776,VCT 2026: Pacific Stage 2,"Jul 16 – Sep 6, 2026",2026-07-16,2026-09-06,mod-kr,kr
PACIFIC,2765,Valorant Masters London 2026,"Jun 6–21, 2026",2026-06-06,2026-06-21,mod-gb,gb
PACIFIC,2775,VCT 2026: Pacific Stage 1,"Apr 3 – May 17, 2026",2026-04-03,2026-05-17,mod-vn,vn
PACIFIC,2760,Valorant Masters Santiago 2026,"Mar 1–16, 2026",2026-03-01,2026-03-16,mod-cl,cl
PACIFIC,2683,VCT 2026: Pacific Kickoff,"Jan 22 – Feb 15, 2026",2026-01-22,2026-02-15,mod-kr,kr
PACIFIC,2283,Valorant Champions 2025,"Sep 12 – Oct 6, 2025",2025-09-12,2025-10-06,mod-fr,fr
PACIFIC,2500,VCT 2025: Pacific Stage 2,"Jul 15 – Aug 31, 2025",2025-07-15,2025-08-31,mod-kr,kr
PACIFIC,2282,Valorant Masters Toronto 2025,"Jun 8–22, 2025",2025-06-08,2025-06-22,mod-ca,ca
PACIFIC,2379,VCT 2025: Pacific Stage 1,"Mar 22 – May 11, 2025",2025-03-22,2025-05-11,mod-kr,kr
PACIFIC,2281,Valorant Masters Bangkok 2025,"Feb 20 – Mar 2, 2025",2025-02-20,2025-03-02,mod-th,th
PACIFIC,2277,VCT 2025: Pacific Kickoff,"Jan 18 – Feb 9, 2025",2025-01-18,2025-02-09,mod-kr,kr
PACIFIC,2097,Valorant Champions 2024,"Aug 1–25, 2024",2024-08-01,2024-08-25,mod-kr,kr
PACIFIC,2005,Champions Tour 2024: Pacific Stage 2,"Jun 15 – Jul 21, 2024",2024-06-15,2024-07-21,mod-kr,kr
PACIFIC,1999,Champions Tour 2024: Masters Shanghai,"May 23 – Jun 9, 2024",2024-05-23,2024-06-09,mod-cn,cn
