match_id,map_id,map_name,team_pick,ct_team,t_team,team_1,team_1_id,team_2,team_2_id,first_half_ct_win_rounds,first_half_t_win_rounds,second_half_ct_win_rounds,second_half_t_win_rounds,ot_team_ct_win,ot_team_t_win,map_winner,region
698884,273205,Ascent,ZETA DIVISION,Gen.G,ZETA DIVISION,Gen.G,17,ZETA DIVISION,5448,6,6,1,7,0,0,Gen.G,PACIFIC
698884,273206,Sunset,Gen.G,ZETA DIVISION,Gen.G,Gen.G,17,ZETA DIVISION,5448,5,7,5,7,2,4,Gen.G,PACIFIC
698885,273208,Split,VARREL,VARREL,Team Secret,Team Secret,6199,VARREL,11229,10,2,4,3,0,0,VARREL,PACIFIC
698885,273209,Haven,Team Secret,Team Secret,VARREL,Team Secret,6199,VARREL,11229,7,5,4,6,0,0,Team Secret,PACIFIC
698885,273210,Summit,Decider,Team Secret,VARREL,Team Secret,6199,VARREL,11229,6,6,7,5,0,0,VARREL,PACIFIC
698886,273211,Haven,FULL SENSE,FULL SENSE,Nongshim RedForce,FULL SENSE,4050,Nongshim RedForce,11060,3,9,4,0,0,0,Nongshim RedForce,PACIFIC
698886,273212,Split,Nongshim RedForce,Nongshim RedForce,FULL SENSE,FULL SENSE,4050,Nongshim RedForce,11060,4,8,5,7,0,0,FULL SENSE,PACIFIC
698886,273213,Ascent,Decider,Nongshim RedForce,FULL SENSE,FULL SENSE,4050,Nongshim RedForce,11060,6,6,7,2,0,0,FULL SENSE,PACIFIC
698887,273214,Split,DetonatioN FocusMe,KIWOOM DRX,DetonatioN FocusMe,KIWOOM DRX,8185,DetonatioN FocusMe,278,4,8,5,7,0,0,DetonatioN FocusMe,PACIFIC
698887,273215,Sunset,KIWOOM DRX,DetonatioN FocusMe,KIWOOM DRX,KIWOOM DRX,8185,DetonatioN FocusMe,278,6,6,7,0,0,0,KIWOOM DRX,PACIFIC
698887,273216,Summit,Decider,DetonatioN FocusMe,KIWOOM DRX,KIWOOM DRX,8185,DetonatioN FocusMe,278,5,7,6,2,0,0,KIWOOM DRX,PACIFIC
698888,273217,Sunset,Rex Regum Qeon,Global Esports,Rex Regum Qeon,Rex Regum Qeon,878,Global Esports,918,6,6,3,7,0,0,Global Esports,PACIFIC
698888,273218,Summit,Global Esports,Rex Regum Qeon,Global Esports,Rex Regum Qeon,878,Global Esports,918,10,2,10,2,2,4,Global Esports,PACIFIC
698889,273220,Sunset,Paper Rex,Paper Rex,T1,Paper Rex,624,T1,14,6,6,6,6,0,2,T1,PACIFIC
698889,273221,Ascent,T1,Paper Rex,T1,Paper Rex,624,T1,14,7,5,6,6,0,0,Paper Rex,PACIFIC
698889,273222,Breeze,Decider,Paper Rex,T1,Paper Rex,624,T1,14,5,7,5,7,3,5,T1,PACIFIC
698890,273223,Split,Nongshim RedForce,Nongshim RedForce,Gen.G,Nongshim RedForce,11060,Gen.G,17,4,8,5,7,0,0,Gen.G,PACIFIC
698890,273224,Ascent,Gen.G,Gen.G,Nongshim RedForce,Nongshim RedForce,11060,Gen.G,17,3,9,4,4,0,0,Nongshim RedForce,PACIFIC
698890,273225,Haven,Decider,Gen.G,Nongshim RedForce,Nongshim RedForce,11060,Gen.G,17,8,4,0,5,0,0,Gen.G,PACIFIC
698891,273226,Sunset,KIWOOM DRX,Team Secret,KIWOOM DRX,KIWOOM DRX,8185,Team Secret,6199,8,4,0,5,0,0,Team Secret,PACIFIC
698891,273227,Haven,Team Secret,KIWOOM DRX,Team Secret,KIWOOM DRX,8185,Team Secret,6199,5,7,6,2,0,0,Team Secret,PACIFIC
698892,273229,Ascent,FULL SENSE,Global Esports,FULL SENSE,Global Esports,918,FULL SENSE,4050,7,5,2,6,0,0,Global Esports,PACIFIC
698892,273230,Summit,Global Esports,Global Esports,FULL SENSE,Global Esports,918,FULL SENSE,4050,11,1,2,2,0,0,Global Esports,PACIFIC
698893,273232,Split,VARREL,T1,VARREL,T1,14,VARREL,11229,7,5,7,5,0,2,VARREL,PACIFIC
698893,273233,Haven,T1,T1,VARREL,T1,14,VARREL,11229,4,8,5,6,0,0,VARREL,PACIFIC
698894,273235,Haven,Rex Regum Qeon,Rex Regum Qeon,ZETA DIVISION,Rex Regum Qeon,878,ZETA DIVISION,5448,7,5,8,2,0,0,ZETA DIVISION,PACIFIC
698894,273236,Breeze,ZETA DIVISION,Rex Regum Qeon,ZETA DIVISION,Rex Regum Qeon,878,ZETA DIVISION,5448,4,8,5,1,0,0,ZETA DIVISION,PACIFIC
698895,273238,Summit,Paper Rex,DetonatioN FocusMe,Paper Rex,DetonatioN FocusMe,278,Paper Rex,624,7,5,8,3,0,0,Paper Rex,PACIFIC
698895,273239,Ascent,DetonatioN FocusMe,Paper Rex,DetonatioN FocusMe,DetonatioN FocusMe,278,Paper Rex,624,8,4,8,4,5,3,Paper Rex,PACIFIC
698897,273241,Ascent,Global Esports,Global Esports,Nongshim RedForce,Nongshim RedForce,11060,Global Esports,918,9,3,3,4,0,0,Global Esports,PACIFIC
698897,273243,Sunset,Decider,Nongshim RedForce,Global Esports,Nongshim RedForce,11060,Global Esports,918,9,3,4,4,0,0,Nongshim RedForce,PACIFIC
698897,278340,Breeze,Nongshim RedForce,Nongshim RedForce,Global Esports,Nongshim RedForce,11060,Global Esports,918,10,2,5,3,0,0,Nongshim RedForce,PACIFIC
698898,273244,Ascent,T1,Team Secret,T1,Team Secret,6199,T1,14,2,10,3,3,0,0,T1,PACIFIC
698898,273245,Haven,Team Secret,Team Secret,T1,Team Secret,6199,T1,14,5,7,6,0,0,0,T1,PACIFIC
698899,273247,Summit,Paper Rex,Paper Rex,KIWOOM DRX,Paper Rex,624,KIWOOM DRX,8185,11,1,0,2,0,0,Paper Rex,PACIFIC
698899,278415,Breeze,KIWOOM DRX,KIWOOM DRX,Paper Rex,Paper Rex,624,KIWOOM DRX,8185,4,8,5,2,0,0,Paper Rex,PACIFIC
698901,273250,Haven,Rex Regum Qeon,Gen.G,Rex Regum Qeon,Gen.G,17,Rex Regum Qeon,878,5,7,6,2,0,0,Rex Regum Qeon,PACIFIC
698901,273251,Summit,Gen.G,Rex Regum Qeon,Gen.G,Gen.G,17,Rex Regum Qeon,878,4,8,5,7,0,0,Gen.G,PACIFIC
698901,273252,Sunset,Decider,Rex Regum Qeon,Gen.G,Gen.G,17,Rex Regum Qeon,878,5,7,6,0,0,0,Gen.G,PACIFIC
698902,273253,Lotus,VARREL,DetonatioN FocusMe,VARREL,VARREL,11229,DetonatioN FocusMe,278,7,5,6,6,0,0,DetonatioN FocusMe,PACIFIC
698902,273255,Haven,Decider,DetonatioN FocusMe,VARREL,VARREL,11229,DetonatioN FocusMe,278,4,8,4,8,3,1,DetonatioN FocusMe,PACIFIC
698902,278738,Ascent,DetonatioN FocusMe,VARREL,DetonatioN FocusMe,VARREL,11229,DetonatioN FocusMe,278,10,2,1,3,0,0,VARREL,PACIFIC
698903,273256,Split,ZETA DIVISION,FULL SENSE,ZETA DIVISION,FULL SENSE,4050,ZETA DIVISION,5448,7,5,7,5,2,0,FULL SENSE,PACIFIC
698903,273257,Sunset,FULL SENSE,FULL SENSE,ZETA DIVISION,FULL SENSE,4050,ZETA DIVISION,5448,4,8,5,6,0,0,ZETA DIVISION,PACIFIC
698903,273258,Haven,Decider,ZETA DIVISION,FULL SENSE,FULL SENSE,4050,ZETA DIVISION,5448,4,8,3,9,0,0,ZETA DIVISION,PACIFIC
698904,273259,Summit,Paper Rex,Team Secret,Paper Rex,Team Secret,6199,Paper Rex,624,3,9,4,7,0,0,Paper Rex,PACIFIC
698904,273260,Ascent,Team Secret,Paper Rex,Team Secret,Team Secret,6199,Paper Rex,624,5,7,1,8,0,0,Paper Rex,PACIFIC
