region,id,title,date_raw,start_date,end_date,source_region_raw,source_region
PACIFIC,2682,VCT 2026: Americas Kickoff,"Jan 16 – Feb 16, 2026",2026-01-16,2026-02-16,mod-us,us
PACIFIC,2501,VCT 2025: Americas Stage 2,"Jul 19 – Sep 1, 2025",2025-07-19,2025-09-01,mod-us,us
PACIFIC,2282,Valorant Masters Toronto 2025,"Jun 8–22, 2025",2025-06-08,2025-06-22,mod-ca,ca
PACIFIC,2347,VCT 2025: Americas Stage 1,"Mar 22 – May 4, 2025",2025-03-22,2025-05-04,mod-us,us
PACIFIC,2274,VCT 2025: Americas Kickoff,"Jan 17 – Feb 9, 2025",2025-01-17,2025-02-09,mod-us,us
PACIFIC,2095,Champions Tour 2024: Americas Stage 2,"Jun 23 – Jul 22, 2024",2024-06-23,2024-07-22,mod-us,us
PACIFIC,2004,Champions Tour 2024: Americas Stage 1,"Apr 7 – May 13, 2024",2024-04-07,2024-05-13,mod-us,us
PACIFIC,1923,Champions Tour 2024: Americas Kickoff,"Feb 17 – Mar 4, 2024",2024-02-17,2024-03-04,mod-us,us
PACIFIC,1657,Valorant Champions 2023,"Aug 7–27, 2023",2023-08-07,2023-08-27,mod-us,us
PACIFIC,1658,Champions Tour 2023: Americas Last Chance Qualifier,"Jul 16–24, 2023",2023-07-16,2023-07-24,,
PACIFIC,1189,Champions Tour 2023: Americas League,"Apr 2 – May 28, 2023",2023-04-02,2023-05-28,mod-us,us
PACIFIC,1130,Champions Tour North America: Last Chance Qualifier,"Aug 4–15, 2022",2022-08-04,2022-08-15,,
PACIFIC,800,Champions Tour North America Stage 2: Challengers,"Apr 29 – Jun 27, 2022",2022-04-29,2022-06-27,,
PACIFIC,799,Champions Tour North America Stage 1: Challengers,"Jan 28 – Mar 28, 2022",2022-01-28,2022-03-28,,
PACIFIC,558,Champions Tour North America: Last Chance Qualifier,"Oct 13 – Nov 1, 2021",2021-10-13,2021-11-01,,
PACIFIC,466,Valorant Champions Tour Stage 3: Masters Berlin,"Sep 10–20, 2021",2021-09-10,2021-09-20,mod-de,de
PACIFIC,578,Champions Tour North America Stage 3: Challengers Playoffs,"Aug 12–16, 2021",2021-08-12,2021-08-16,,
PACIFIC,576,Champions Tour North America Stage 3: Challengers 2,"Jul 23 – Aug 2, 2021",2021-07-23,2021-08-02,,
PACIFIC,520,Champions Tour North America Stage 3: Challengers 1,"Jul 2–12, 2021",2021-07-02,2021-07-12,,
PACIFIC,372,Champions Tour North America Stage 2: Challengers Finals,"Apr 30 – May 3, 2021",2021-04-30,2021-05-03,,
PACIFIC,371,Champions Tour North America Stage 2: Challengers 2,"Apr 16–26, 2021",2021-04-16,2021-04-26,,
PACIFIC,370,Champions Tour North America Stage 2: Challengers 1,"Apr 2–12, 2021",2021-04-02,2021-04-12,,
PACIFIC,333,Champions Tour North America Stage 1: Masters,"Mar 12–22, 2021",2021-03-12,2021-03-22,,
PACIFIC,324,Champions Tour North America Stage 1: Challengers 3,"Feb 26 – Mar 8, 2021",2021-02-26,2021-03-08,,
PACIFIC,306,Champions Tour North America Stage 1: Challengers 2,"Feb 12–24, 2021",2021-02-12,2021-02-24,,
PACIFIC,291,Champions Tour North America Stage 1: Challengers 1,"Jan 28 – Feb 8, 2021",2021-01-28,2021-02-08,,
