match_id,map_id,map_name,team_pick,ct_team,t_team,team_1,team_1_id,team_2,team_2_id,first_half_ct_win_rounds,first_half_t_win_rounds,second_half_ct_win_rounds,second_half_t_win_rounds,ot_team_ct_win,ot_team_t_win,map_winner,region
753444,283153,TBD,Decider,,,100 Thieves,120.0,T1,14.0,0,0,0,0,0,0,Draw,EMEA
753452,283177,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
753458,283195,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
753453,283180,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
753448,283165,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
753462,283207,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
753461,283204,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
753457,283192,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
753456,283189,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
753451,283174,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
753445,283156,TBD,Decider,,,JD Gaming,13576.0,FUT Esports,1184.0,0,0,0,0,0,0,Draw,EMEA
753447,283162,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
753446,283159,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
753460,283201,TBD,Decider,,,Nongshim RedForce,11060.0,NRG,1034.0,0,0,0,0,0,0,Draw,EMEA
753459,283198,TBD,Decider,,,Karmine Corp,8877.0,Xi Lai Gaming,13581.0,0,0,0,0,0,0,Draw,EMEA
753455,283186,TBD,Decider,,,Team Liquid,474.0,Paper Rex,624.0,0,0,0,0,0,0,Draw,EMEA
753454,283183,TBD,Decider,,,TYLOO,731.0,G2 Esports,11058.0,0,0,0,0,0,0,Draw,EMEA
753450,283171,TBD,Decider,,,LOUD,6961.0,EDward Gaming,1120.0,0,0,0,0,0,0,Draw,EMEA
753449,283168,TBD,Decider,,,Global Esports,918.0,Team Vitality,2059.0,0,0,0,0,0,0,Draw,EMEA
753463,283210,TBD,Decider,,,TBD,,TBD,,0,0,0,0,0,0,Draw,EMEA
712803,276498,Split,Natus Vincere,FUT Esports,Natus Vincere,FUT Esports,1184.0,Natus Vincere,4915.0,4,8,5,2,0,0,Natus Vincere,EMEA
712803,276499,Ascent,FUT Esports,Natus Vincere,FUT Esports,FUT Esports,1184.0,Natus Vincere,4915.0,7,5,4,6,0,0,Natus Vincere,EMEA
712804,276501,Split,Team Liquid,Eternal Fire,Team Liquid,Team Liquid,474.0,Eternal Fire,6392.0,8,4,2,5,0,0,Eternal Fire,EMEA
712804,276502,Lotus,Eternal Fire,Eternal Fire,Team Liquid,Team Liquid,474.0,Eternal Fire,6392.0,10,2,0,3,0,0,Eternal Fire,EMEA
712805,276504,Ascent,GIANTX,FNATIC,GIANTX,FNATIC,2593.0,GIANTX,14419.0,6,6,6,6,3,1,FNATIC,EMEA
712805,276505,Sunset,FNATIC,FNATIC,GIANTX,FNATIC,2593.0,GIANTX,14419.0,9,3,6,4,0,0,FNATIC,EMEA
712806,276507,Split,PCIFIC Esports,Gentle Mates,PCIFIC Esports,PCIFIC Esports,3478.0,Gentle Mates,12694.0,5,7,6,0,0,0,PCIFIC Esports,EMEA
712806,276508,Sunset,Gentle Mates,PCIFIC Esports,Gentle Mates,PCIFIC Esports,3478.0,Gentle Mates,12694.0,5,7,6,0,0,0,Gentle Mates,EMEA
712806,276509,Ascent,Decider,PCIFIC Esports,Gentle Mates,PCIFIC Esports,3478.0,Gentle Mates,12694.0,4,8,5,0,0,0,Gentle Mates,EMEA
712807,276510,Sunset,Karmine Corp,Eternal Fire,Karmine Corp,Karmine Corp,8877.0,Eternal Fire,6392.0,1,11,2,5,0,0,Karmine Corp,EMEA
712807,276511,Lotus,Eternal Fire,Karmine Corp,Eternal Fire,Karmine Corp,8877.0,Eternal Fire,6392.0,7,5,7,5,3,1,Karmine Corp,EMEA
712808,276513,Sunset,Natus Vincere,Team Vitality,Natus Vincere,Team Vitality,2059.0,Natus Vincere,4915.0,4,8,5,5,0,0,Natus Vincere,EMEA
712808,276514,Breeze,Team Vitality,Natus Vincere,Team Vitality,Team Vitality,2059.0,Natus Vincere,4915.0,4,8,5,2,0,0,Team Vitality,EMEA
712808,276515,Split,Decider,Natus Vincere,Team Vitality,Team Vitality,2059.0,Natus Vincere,4915.0,5,7,6,4,0,0,Team Vitality,EMEA
712809,276516,Sunset,Gentle Mates,FUT Esports,Gentle Mates,Gentle Mates,12694.0,FUT Esports,1184.0,8,4,5,5,0,0,FUT Esports,EMEA
712809,276517,Haven,FUT Esports,Gentle Mates,FUT Esports,Gentle Mates,12694.0,FUT Esports,1184.0,4,8,4,8,0,2,FUT Esports,EMEA
712810,276519,Breeze,Team Liquid,Team Heretics,Team Liquid,Team Heretics,1001.0,Team Liquid,474.0,10,2,10,2,0,2,Team Liquid,EMEA
712810,276520,Ascent,Team Heretics,Team Liquid,Team Heretics,Team Heretics,1001.0,Team Liquid,474.0,7,5,5,6,0,0,Team Liquid,EMEA
712811,276522,Haven,Karmine Corp,Karmine Corp,GIANTX,GIANTX,14419.0,Karmine Corp,8877.0,7,5,3,6,0,0,Karmine Corp,EMEA
712811,276523,Ascent,GIANTX,Karmine Corp,GIANTX,GIANTX,14419.0,Karmine Corp,8877.0,8,4,0,5,0,0,Karmine Corp,EMEA
712812,276525,Haven,BBL Esports,Team Vitality,BBL Esports,Team Vitality,2059.0,BBL Esports,397.0,2,10,3,9,0,0,BBL Esports,EMEA
712812,276526,Split,Team Vitality,BBL Esports,Team Vitality,Team Vitality,2059.0,BBL Esports,397.0,8,4,7,5,0,0,BBL Esports,EMEA
712814,276528,Split,PCIFIC Esports,PCIFIC Esports,FUT Esports,FUT Esports,1184.0,PCIFIC Esports,3478.0,3,9,4,7,0,0,FUT Esports,EMEA
712814,276529,Lotus,FUT Esports,FUT Esports,PCIFIC Esports,FUT Esports,1184.0,PCIFIC Esports,3478.0,8,4,8,4,0,2,PCIFIC Esports,EMEA
712814,276530,Ascent,Decider,PCIFIC Esports,FUT Esports,FUT Esports,1184.0,PCIFIC Esports,3478.0,1,11,2,0,0,0,FUT Esports,EMEA
712815,276531,Summit,Karmine Corp,FNATIC,Karmine Corp,FNATIC,2593.0,Karmine Corp,8877.0,6,6,6,6,4,2,FNATIC,EMEA
712815,276532,Ascent,FNATIC,Karmine Corp,FNATIC,FNATIC,2593.0,Karmine Corp,8877.0,7,5,1,6,0,0,Karmine Corp,EMEA
712815,276533,Split,Decider,Karmine Corp,FNATIC,FNATIC,2593.0,Karmine Corp,8877.0,5,7,5,7,3,5,FNATIC,EMEA
712816,276534,Lotus,Eternal Fire,Eternal Fire,Team Heretics,Eternal Fire,6392.0,Team Heretics,1001.0,5,7,6,5,0,0,Team Heretics,EMEA
712816,276535,Haven,Team Heretics,Eternal Fire,Team Heretics,Eternal Fire,6392.0,Team Heretics,1001.0,0,12,1,0,0,0,Team Heretics,EMEA
