agent,count,mean,median
chamber,1181,1.0622861981371718,1.05
raze,4812,1.0562406483790523,1.04
iso,64,1.04984375,1.0
reyna,1973,1.0483122149011659,1.03
jett,8975,1.0369359331476322,1.01
phoenix,903,1.0341749723145073,1.02
sova,9503,1.018199515942334,1.0
vyse,323,1.0039009287925695,0.97
yoru,795,1.0,0.99
viper,5932,0.9920482130815913,0.98
astra,4792,0.99125,0.97
killjoy,5054,0.9882766125840918,0.98
brimstone,1508,0.9827984084880637,0.96
kayo,1780,0.982752808988764,0.97
fade,1100,0.9778272727272727,0.95
clove,7,0.9742857142857143,1.17
neon,811,0.9631689272503082,0.95
tejo,263,0.9605703422053232,0.96
cypher,4667,0.9561924148275124,0.94
omen,5272,0.9444423368740517,0.94
sage,5749,0.944399025917551,0.93
skye,4064,0.9324015748031497,0.92
breach,2902,0.9286871123363198,0.91
deadlock,85,0.9285882352941177,0.95
waylay,261,0.9260536398467433,0.89
veto,20,0.9195,0.81
gekko,241,0.9059751037344399,0.89
harbor,98,0.8285714285714286,0.8
