,dtype
player_name,str
player_id,int64
team,str
team_id,float64
opponent_team,str
opponent_team_id,float64
agent,str
map,str
match_id,int64
event_id,int64
match_date,str
match_time,str
team_1,str
team_2,str
team_pick,str
map_winner,str
first_half_ct_win_rounds,int64
first_half_t_win_rounds,int64
second_half_ct_win_rounds,int64
second_half_t_win_rounds,int64
ot_team_ct_win,int64
ot_team_t_win,int64
rating2_all,float64
rating2_t,float64
rating2_ct,float64
acs_all,float64
acs_t,float64
acs_ct,float64
kills_all,float64
kills_t,float64
kills_ct,float64
deaths_all,float64
deaths_t,float64
deaths_ct,float64
assists_all,float64
assists_t,float64
assists_ct,float64
kast_all,float64
kast_t,float64
kast_ct,float64
adr_all,float64
adr_t,float64
adr_ct,float64
hsp_all,float64
hsp_t,float64
hsp_ct,float64
fb_all,float64
fb_t,float64
fb_ct,float64
fd_all,float64
fd_t,float64
fd_ct,float64
kda_all,float64
team_avg_rating,float64
team_avg_acs,float64
team_avg_kda,float64
opp_avg_rating,float64
opp_avg_acs,float64
opp_avg_kda,float64
opp_rating_gap,float64
opp_acs_gap,float64
opp_kda_gap,float64
