,missing_count,missing_percent_of_rows,rows_deleted_if_column_is_required,rows_retained_if_column_is_required
hsp_t,978,1.3372530252273194,978,72157
hsp_ct,912,1.2470089560401996,912,72223
adr_ct,858,1.1731728994325563,858,72277
kast_t,581,0.7944212757229779,581,72554
kast_ct,558,0.7629725849456485,558,72577
acs_ct,379,0.5182197306351268,379,72756
kda_all,12,0.01640801257947631,12,73123
team,10,0.01367334381623026,10,73125
acs_t,3,0.004102003144869078,3,73132
kast_all,2,0.002734668763246052,2,73133
agent,0,0.0,0,73135
team_id,0,0.0,0,73135
player_id,0,0.0,0,73135
player_name,0,0.0,0,73135
team_2,0,0.0,0,73135
team_1,0,0.0,0,73135
team_pick,0,0.0,0,73135
map_winner,0,0.0,0,73135
second_half_ct_win_rounds,0,0.0,0,73135
second_half_t_win_rounds,0,0.0,0,73135
first_half_ct_win_rounds,0,0.0,0,73135
first_half_t_win_rounds,0,0.0,0,73135
ot_team_t_win,0,0.0,0,73135
map,0,0.0,0,73135
match_id,0,0.0,0,73135
event_id,0,0.0,0,73135
match_date,0,0.0,0,73135
match_time,0,0.0,0,73135
opponent_team,0,0.0,0,73135
opponent_team_id,0,0.0,0,73135
kills_t,0,0.0,0,73135
kills_all,0,0.0,0,73135
rating2_ct,0,0.0,0,73135
acs_all,0,0.0,0,73135
rating2_t,0,0.0,0,73135
rating2_all,0,0.0,0,73135
ot_team_ct_win,0,0.0,0,73135
deaths_t,0,0.0,0,73135
assists_ct,0,0.0,0,73135
assists_t,0,0.0,0,73135
assists_all,0,0.0,0,73135
deaths_ct,0,0.0,0,73135
deaths_all,0,0.0,0,73135
adr_all,0,0.0,0,73135
adr_t,0,0.0,0,73135
kills_ct,0,0.0,0,73135
hsp_all,0,0.0,0,73135
fb_all,0,0.0,0,73135
fb_ct,0,0.0,0,73135
fb_t,0,0.0,0,73135
fd_all,0,0.0,0,73135
fd_t,0,0.0,0,73135
fd_ct,0,0.0,0,73135
team_avg_rating,0,0.0,0,73135
team_avg_acs,0,0.0,0,73135
team_avg_kda,0,0.0,0,73135
opp_avg_rating,0,0.0,0,73135
opp_avg_acs,0,0.0,0,73135
opp_avg_kda,0,0.0,0,73135
opp_rating_gap,0,0.0,0,73135
opp_acs_gap,0,0.0,0,73135
opp_kda_gap,0,0.0,0,73135
