,missing_count,missing_percent
hsp_t,978,1.3372530252273194
hsp_ct,912,1.2470089560401996
adr_ct,858,1.1731728994325563
kast_t,581,0.7944212757229779
kast_ct,558,0.7629725849456485
acs_ct,379,0.5182197306351268
kda_all,12,0.01640801257947631
team,10,0.01367334381623026
acs_t,3,0.004102003144869078
kast_all,2,0.002734668763246052
agent,0,0.0
team_id,0,0.0
player_id,0,0.0
player_name,0,0.0
team_2,0,0.0
team_1,0,0.0
team_pick,0,0.0
map_winner,0,0.0
second_half_ct_win_rounds,0,0.0
second_half_t_win_rounds,0,0.0
first_half_ct_win_rounds,0,0.0
first_half_t_win_rounds,0,0.0
ot_team_t_win,0,0.0
map,0,0.0
match_id,0,0.0
event_id,0,0.0
match_date,0,0.0
match_time,0,0.0
opponent_team,0,0.0
opponent_team_id,0,0.0
kills_t,0,0.0
kills_all,0,0.0
rating2_ct,0,0.0
acs_all,0,0.0
rating2_t,0,0.0
rating2_all,0,0.0
ot_team_ct_win,0,0.0
deaths_t,0,0.0
assists_ct,0,0.0
assists_t,0,0.0
assists_all,0,0.0
deaths_ct,0,0.0
deaths_all,0,0.0
adr_all,0,0.0
adr_t,0,0.0
kills_ct,0,0.0
hsp_all,0,0.0
fb_all,0,0.0
fb_ct,0,0.0
fb_t,0,0.0
fd_all,0,0.0
fd_t,0,0.0
fd_ct,0,0.0
team_avg_rating,0,0.0
team_avg_acs,0,0.0
team_avg_kda,0,0.0
opp_avg_rating,0,0.0
opp_avg_acs,0,0.0
opp_avg_kda,0,0.0
opp_rating_gap,0,0.0
opp_acs_gap,0,0.0
opp_kda_gap,0,0.0
