,count,mean,std,min,25%,50%,75%,max
player_id,73135.0,8162.564080125795,7897.40532770402,4.0,1828.0,5660.0,12611.0,58959.0
team_id,73135.0,4231.23708210843,3142.3600839157198,2.0,1594.0,4096.0,6110.0,20085.0
opponent_team_id,73135.0,4232.191536200177,3144.4491845951434,2.0,1594.0,4097.0,6129.0,20085.0
match_id,73135.0,122759.89564504,186330.7135411345,10776.0,23796.0,51270.0,65310.0,731408.0
event_id,73135.0,929.6298078895194,714.9128144458252,320.0,541.0,664.0,797.0,2976.0
first_half_ct_win_rounds,73135.0,5.9864360429343,2.7749582050099293,0.0,4.0,6.0,8.0,12.0
first_half_t_win_rounds,73135.0,5.962425651193,2.777938221418672,0.0,4.0,6.0,8.0,12.0
second_half_ct_win_rounds,73135.0,3.9390989266425103,2.3981958590099506,0.0,2.0,4.0,6.0,11.0
second_half_t_win_rounds,73135.0,4.002994462295755,2.434169909061485,0.0,2.0,4.0,6.0,11.0
ot_team_ct_win,73135.0,0.19891980583851782,0.8247951692350306,0.0,0.0,0.0,0.0,11.0
ot_team_t_win,73135.0,0.19438025569152936,0.8195445506527874,0.0,0.0,0.0,0.0,13.0
rating2_all,73135.0,0.9910352088603268,0.3713511556595832,0.01,0.74,0.97,1.22,2.88
rating2_t,73135.0,0.953557667327545,0.505015927117995,0.01,0.6,0.92,1.26,5.35
rating2_ct,73135.0,1.0239305394134135,0.501916576238356,0.0,0.68,0.99,1.33,5.77
acs_all,73135.0,200.71234019279416,64.40806814882606,4.0,156.0,196.0,240.0,567.0
acs_t,73132.0,192.64088224033256,87.63957825160539,-3.0,133.0,185.0,244.0,962.0
acs_ct,72756.0,208.4715075045357,88.24635423404024,2.0,148.0,200.0,260.0,894.0
kills_all,73135.0,14.342736036097628,5.625799097023143,0.0,10.0,14.0,18.0,47.0
kills_t,73135.0,7.029944622957545,3.959444537519518,0.0,4.0,7.0,10.0,31.0
kills_ct,73135.0,7.312791413140084,4.040681400905291,-2.0,4.0,7.0,10.0,42.0
deaths_all,73135.0,14.325343542763383,4.049271254666696,0.0,12.0,15.0,17.0,41.0
deaths_t,73135.0,7.355958159567923,3.032008397159705,0.0,5.0,8.0,10.0,22.0
deaths_ct,73135.0,6.96938538319546,2.9527191279376246,-1.0,5.0,7.0,9.0,34.0
assists_all,73135.0,5.233855199288986,3.2820307013711925,0.0,3.0,5.0,7.0,29.0
assists_t,73135.0,2.5655978669583646,2.1181274299138884,0.0,1.0,2.0,4.0,19.0
assists_ct,73135.0,2.6682573323306213,2.1878613958180804,-2.0,1.0,2.0,4.0,20.0
kast_all,73133.0,0.7017607646342964,0.13875518847663376,0.07,0.62,0.71,0.8,1.0
kast_t,72554.0,0.6991105934889875,0.18034736110047345,0.08,0.58,0.71,0.83,1.0
kast_ct,72577.0,0.7184296678010941,0.17687506151179322,0.08,0.58,0.75,0.83,1.0
adr_all,73135.0,129.1732002461202,39.38022061664187,3.0,102.0,127.0,154.0,354.0
adr_t,73135.0,122.17392493334245,53.74778379930143,0.0,86.0,119.0,155.0,551.0
adr_ct,72277.0,131.337617776056,52.5609349458495,1.0,95.0,128.0,164.0,528.0
hsp_all,73135.0,0.2618300403363643,0.09696993199617757,0.0,0.19,0.25,0.32,1.0
hsp_t,72157.0,0.2742597391798439,0.1461515661263081,0.0,0.18,0.26,0.35,1.0
hsp_ct,72223.0,0.2625349265469448,0.14285144065883626,0.0,0.17,0.25,0.33,1.0
fb_all,73135.0,2.036630888083681,1.765526723040095,0.0,1.0,2.0,3.0,14.0
fb_t,73135.0,0.9274082176796336,1.1222948060492581,0.0,0.0,1.0,1.0,10.0
fb_ct,73135.0,1.1092226704040473,1.1920232948621103,0.0,0.0,1.0,2.0,9.0
fd_all,73135.0,2.0328707185342174,1.6355992743831291,0.0,1.0,2.0,3.0,15.0
fd_t,73135.0,1.1066657551104122,1.1988824686480906,0.0,0.0,1.0,2.0,9.0
fd_ct,73135.0,0.9262049634238053,1.0193168627456242,0.0,0.0,1.0,1.0,9.0
kda_all,73123.0,1.5354081399794992,0.9847742544973259,0.0,1.0,1.3333333333333333,1.8333333333333333,29.0
team_avg_rating,73135.0,0.9910352088603268,0.12537519034662115,0.242,0.95575,1.0222105263157897,1.056857142857143,1.599
team_avg_acs,73135.0,201.23907885936882,15.836011946313818,71.6,196.5,204.73478260869564,210.8692307692308,262.1
team_avg_kda,73135.0,1.5450584013635358,0.3195107964445032,0.2408424908424908,1.4140946481370984,1.580697731832173,1.694156077420666,5.181428571428572
opp_avg_rating,73135.0,0.9910352088603268,0.12405016638237683,0.39625,0.9196222222222222,0.9663287671232876,1.0234677419354838,1.6960000000000002
opp_avg_acs,73135.0,200.63433014758667,14.677455190431083,152.05,191.75107296137335,196.80340425531915,206.175,267.4
opp_avg_kda,73135.0,1.5312105083021876,0.4524367849119376,0.9263713818860876,1.3080258047623257,1.4229542343570971,1.5791962104716508,8.87037037037037
opp_rating_gap,73135.0,-1.47675525857025e-17,0.15986202937611124,-0.6688888888888889,-0.0863411764705882,0.0355597225469563,0.1066990124516958,0.6928857142857143
opp_acs_gap,73135.0,0.6047487117821531,19.760941796711077,-121.26250000000002,-9.966666666666669,5.155354407464159,14.055384615384613,69.56
opp_kda_gap,73135.0,0.013847893061347904,0.49955105449780207,-5.509182828552024,-0.2106531866384327,0.1151967233946085,0.3103314324217368,3.564684651766445
