team,count,mean,median
Ovat,10,1.532,1.725
300S,10,1.349,1.38
Say,15,1.258,1.18
TQM,5,1.254,1.28
5up,20,1.242,1.225
ooli,20,1.2335,1.29
KVT,5,1.218,1.04
SUPR,25,1.214,1.15
HONK,55,1.2132727272727273,1.2
0123,20,1.2105000000000001,1.185
OG,235,1.2059148936170212,1.16
Pomi,30,1.2043333333333335,1.1549999999999998
TM,45,1.2022222222222223,1.18
Left,35,1.2017142857142857,1.21
Whynot,10,1.2,1.12
hlns,10,1.199,1.1099999999999999
Redr,70,1.1952857142857143,1.19
Equi,20,1.193,1.02
notb,30,1.1886666666666668,1.105
Nood,45,1.1868888888888889,1.11
nF,50,1.1834,1.1949999999999998
WP,35,1.1805714285714286,1.13
GIBD,20,1.1765,1.26
BadLeg,25,1.1743999999999999,1.2
Sold,75,1.1702666666666666,1.05
EIQ,40,1.17025,1.2149999999999999
fast,45,1.1680000000000001,1.08
B5,10,1.168,1.15
nmDM,90,1.1677777777777778,1.125
AWAR,110,1.1676363636363636,1.12
EGN,35,1.1674285714285715,1.2
3G,70,1.165,1.13
DSY,40,1.1644999999999999,1.16
F1,40,1.1640000000000001,1.17
Hogw,40,1.163,1.1150000000000002
R$,105,1.160095238095238,1.13
INCO,35,1.1585714285714286,1.1
SOR,90,1.1568888888888889,1.085
Bons,75,1.1558666666666666,1.13
Limi,50,1.1548,1.145
whyd,35,1.1528571428571428,1.2
HTW,75,1.1522666666666668,1.07
CASE,105,1.1493333333333333,1.11
SAW,125,1.14832,1.15
Slee,70,1.148,1.14
ODIUM,60,1.1478333333333335,1.15
DIVA,20,1.1475,1.0899999999999999
KOVA,110,1.1443636363636362,1.1150000000000002
Save,55,1.14,1.13
Unge,55,1.1396363636363636,1.12
miks,40,1.13875,1.0350000000000001
OVA,185,1.1381081081081081,1.15
OPP,115,1.1357391304347826,1.13
PENT,45,1.1353333333333333,1.17
XYZ,50,1.1352,1.105
owna,95,1.1337894736842105,1.1
Seve,10,1.133,1.1349999999999998
LDN,360,1.1320833333333333,1.13
EEAF,45,1.1308888888888888,1.13
azzi,45,1.1297777777777778,1.15
EHXD,95,1.1281052631578947,1.13
Mega,175,1.1277714285714286,1.12
KAST,60,1.1256666666666668,1.125
XL,265,1.1252075471698113,1.11
50Fr,20,1.125,1.03
TQ,255,1.1212549019607845,1.08
ANB,430,1.1197906976744185,1.0950000000000002
TMQ,45,1.1197777777777778,1.12
YZ,100,1.1192,1.11
M4LIK,60,1.1183333333333332,1.08
VCTRY,50,1.1172,1.04
UCAM,140,1.116142857142857,1.09
Atla,40,1.1145,1.18
IHG,80,1.113375,1.04
YLA,265,1.1121509433962264,1.08
idkm,20,1.1115,1.155
GMB,500,1.1111600000000001,1.11
M28,35,1.110857142857143,1.04
Lixa,65,1.1103076923076924,1.07
xt,5,1.1099999999999999,1.04
GIA,540,1.1099444444444444,1.0950000000000002
Stun,85,1.1081176470588234,1.13
368,75,1.1079999999999999,1.02
Arri,20,1.1075,1.0350000000000001
unjo,90,1.107,1.1549999999999998
5ORD,20,1.107,0.95
FVT,60,1.1066666666666667,1.02
YONK,110,1.1062727272727273,1.0750000000000002
HOME,35,1.1017142857142859,1.07
ES,70,1.1011428571428572,1.13
QUES,45,1.1008888888888888,1.12
Ksen,135,1.0996296296296295,1.04
RF,35,1.0991428571428572,1.06
ANM,210,1.098952380952381,1.0550000000000002
ChiP,15,1.0986666666666667,0.94
illm,20,1.0985,1.245
Feli,20,1.097,0.99
FNST,305,1.0967868852459015,1.06
PER,280,1.096607142857143,1.06
Bref,35,1.096,1.08
19,280,1.0958928571428572,1.08
FOXN,35,1.0954285714285714,1.11
SMP,130,1.0952307692307692,1.08
WICK,15,1.094,1.01
RBLS,180,1.093388888888889,1.05
KGE,55,1.0927272727272728,1.07
RAAD,235,1.0920851063829786,1.04
Sibe,20,1.092,1.025
Abst,25,1.0916,1.13
Bang,45,1.0915555555555554,1.1
EZ K,150,1.0909333333333333,1.065
BTW,30,1.0906666666666667,1.0550000000000002
Roge,20,1.0895,1.085
Vals,25,1.0884,1.08
Sica,20,1.088,0.97
CBT,55,1.0876363636363637,1.08
Devi,25,1.0872,0.99
AT,100,1.0867,1.005
PRL,35,1.0857142857142856,1.06
świ,25,1.0852,1.06
KFLR,230,1.085,1.08
Vexed,135,1.0844444444444445,1.03
HATA,25,1.0844,0.98
WATA,90,1.084,1.0750000000000002
FB,235,1.0834468085106381,1.06
PACT,90,1.0834444444444444,1.08
NS,50,1.0832000000000002,1.06
Band,25,1.0828,1.09
WLG,85,1.082235294117647,1.04
TD,60,1.081,1.0550000000000002
Jamm,20,1.081,1.0350000000000001
VV,105,1.0808571428571427,1.04
KE,55,1.0805454545454545,1.07
bref,200,1.0802,1.05
sauce,35,1.0797142857142856,1.08
BST,25,1.0784,1.14
WAVE,280,1.0772857142857142,1.05
ANO,95,1.0763157894736841,1.12
iPon,115,1.0761739130434782,1.03
PW,35,1.0757142857142856,1.09
Ax3,75,1.0754666666666666,1.02
EZcl,130,1.0751538461538461,1.04
PASC,35,1.0745714285714285,1.09
Rugr,70,1.0738571428571428,1.02
GLD,685,1.0737226277372263,1.06
CGN,205,1.0731707317073171,1.04
NRAGE,45,1.0722222222222222,1.05
MJY,200,1.072,1.0550000000000002
l3wn,15,1.0719999999999998,1.1
M5,160,1.0704375000000002,0.985
EDW,70,1.0704285714285715,1.06
VIN,25,1.0704,1.04
Deja,85,1.0703529411764707,1.06
Sangal,35,1.0697142857142856,1.07
