agent,n,mae,rmse,r2,spearman
astra,640.0,38.942493081092834,48.249949100066445,0.04001228180595495,0.22217178253879294
breach,627.0,39.59328162575072,49.80801198686797,0.033997630467861306,0.20284971550381917
brimstone,395.0,41.131775752200355,52.78368009637649,-0.0016863779901261644,0.19842190868285609
chamber,241.0,45.12851718253614,57.21420834425479,-0.004782750677679637,0.10341965801116809
clove,29.0,45.477433303306846,57.79988911518695,-0.13173020074630126,-0.018475181812757046
cypher,1173.0,41.96996925919867,52.79385792750445,0.013479795945856354,0.15260006417317562
deadlock,115.0,40.997366465692934,53.311439787022316,-0.03910163182784432,0.07201747195345946
fade,1074.0,39.575151823530426,49.58212153233303,0.018157238183968194,0.1506743940315915
gekko,368.0,42.00827320762303,52.85717580254769,-0.031683916170047066,0.1875338554977145
harbor,150.0,40.569279174804684,49.84284035759781,0.03730570901593744,0.26735320029892495
iso,91.0,48.88944638430417,61.25512900725364,-0.08395202144589597,0.10552093547814938
jett,863.0,50.11859015932227,62.834697192527194,0.01575483589136306,0.15457596856698613
kayo,630.0,40.58753785632906,52.37301737841045,0.03902206907940364,0.20020803815971822
killjoy,668.0,42.14150185499363,53.26924317470281,0.0736144229858896,0.24987161395763802
neon,877.0,50.439818031023954,63.53322963197334,-0.01005361510181757,0.12103355436570848
omen,2249.0,41.20030109953382,51.378504050744525,0.05947301007294692,0.2664055513161452
phoenix,255.0,47.97442172181373,61.53820758498407,-0.01185688953755104,0.11885639896892596
raze,1169.0,47.85347961216936,60.28678837219149,0.020015261400169404,0.17591618715788043
reyna,28.0,57.390495845249724,70.47687997197633,-0.023583387314198845,0.08048179879984944
sage,170.0,41.261546953986674,53.03319253243215,0.061739955831651705,0.2425793185784587
skye,456.0,40.57704999154074,50.01303653831674,-0.025029436354352175,0.09979547887426791
sova,1501.0,41.79224128901045,52.94004217729075,0.03901963087516913,0.19969968091699677
tejo,476.0,43.82722578930254,55.20256955510941,0.0045237066344387955,0.1420143589993559
veto,33.0,48.59234942811908,66.0164811127834,-0.06113970013018766,0.05381465716123178
viper,1779.0,42.03292023271172,53.56168481820757,0.03780269360042465,0.22835128750472708
vyse,485.0,42.74678171688748,54.57284935470886,0.04035427780720369,0.22344518863224536
waylay,363.0,46.45300171066578,58.74505755412491,-0.0016901762534407005,0.10743285318284673
yoru,935.0,48.39303580707407,61.89926640851451,-0.05047357007031117,0.10211844685706827
