map,n,mae,rmse,r2,spearman
Abyss,1300.0,45.76770965576172,57.56084965936373,0.04538109884715824,0.24354757587531392
Ascent,4030.0,42.96727792441697,54.36061723224752,0.0911662034668026,0.3075017164391554
Bind,3090.0,42.19500555637199,53.15077117280941,0.10592175206554943,0.3223045445796289
Breeze,1980.0,43.739244187480274,55.36997628101822,0.08330218275949786,0.2963355526454707
Corrode,950.0,43.98009111906353,54.92999793027977,0.06710085180177905,0.26864465731919024
Fracture,1850.0,41.58777660472973,52.55102540252011,0.10188225842377396,0.31446165423204564
Haven,4450.0,43.27353031115585,54.77802625894423,0.08536593326702879,0.29292344844929535
Icebox,2460.0,45.48574001033132,56.761664483492616,0.11254181035081523,0.3040880335985015
Lotus,5820.0,42.71788266893105,53.707390215933444,0.1222356886434045,0.33329389373288054
Pearl,2570.0,42.599675528084724,53.68978534968537,0.08112615538146473,0.2940704578777202
Split,4540.0,42.42803162562164,53.43955941563814,0.12000151313990237,0.33548612339252326
Summit,510.0,46.047892611634495,59.424625166997046,0.025919629583949888,0.24163645802725034
Sunset,2750.0,43.4611713478782,55.183144070537566,0.08402844466892234,0.2898626343087078
