group,importance
role_Duelist,0.23522528
team,0.14863381
agent,0.12749745
opponent_team,0.0770249
player_acs_long_term,0.03172106
elo_gap,0.029533051
player_agent_acs_last_5,0.021847356
player_acs_last_10,0.01962129
player_acs_ewm_10,0.019293569
player_acs_fallback,0.016701778
role_confidence,0.015733697
player_role_acs_last_5,0.015665375
opponent_elo,0.015619777
map,0.01516408
missingindicator_opponent_rating_last_5,0.00977681
player_matches_played,0.0095453095
player_history_sample_size,0.008637231
veterans_remaining,0.008393815
player_role_matches_played,0.008169188
player_map_acs_last_5,0.0076430957
missingindicator_opponent_map_strength,0.007572167
form_fallback_level_opponent-context,0.0072611696
missingindicator_opponent_rating_last_10,0.007173008
player_acs_last_5,0.0062510334
player_rest_days,0.006014342
missingindicator_team_roster_synergy,0.0051884884
match_year,0.0050323596
opponent_map_matches,0.0048043393
opponent_kda_last_5,0.0045209806
player_kda_form_gap,0.004470576
opponent_rating_last_10,0.00416218
match_month,0.0039185965
player_acs_ewm_3,0.003696127
player_role_rating_last_5,0.0036876139
player_role_kda_last_5,0.0036820401
missingindicator_opponent_acs_last_5,0.0034264768
missingindicator_opponent_map_win_rate,0.0033274018
player_agent_matches_played,0.003310186
role_Initiator,0.0029656803
player_rating_long_term,0.002872682
player_acs_last_3,0.0028633184
player_map_matches_played,0.0027692337
player_acs_ewm_5,0.0027293907
opponent_rating_last_5,0.002320562
player_matches_last_30d,0.00223967
match_dayofweek,0.002112763
player_opponent_rating_last_5,0.0020691724
opponent_map_strength,0.0019567627
opponent_acs_last_5,0.0018956746
player_kda_long_term,0.0018851251
player_rating_ewm_10,0.0015821228
player_matches_last_7d,0.0015385677
player_kda_fallback,0.0015217395
player_form_trend,0.0015100483
player_rating_ewm_3,0.0014586712
player_rating_form_gap,0.0014473947
player_role_share,0.0014336954
player_agent_rating_last_5,0.0014296686
player_agent_kda_last_5,0.00141206
region_AMERICAS,0.001389643
player_rating_last_10,0.0013760389
player_rating_fallback,0.001332825
player_rating_ewm_5,0.0013288234
player_rating_std,0.0012956739
lineup_continuity,0.0012614389
player_kda_ewm_3,0.0012576536
player_kda_ewm_10,0.0012498834
region_EMEA,0.0012234076
player_kda_ewm_5,0.0012120033
region_PACIFIC,0.0012078137
form_fallback_level_player-role,0.00118665
player_agent_map_rating_last_5,0.0011789805
player_acs_form_gap,0.0011293315
player_kda_last_10,0.0011185386
player_role_map_rating_last_5,0.0009694488
form_fallback_level_player-global,0.00096823834
player_kda_last_5,0.00086222216
player_opponent_matches_played,0.00085472077
player_kda_last_3,0.00081520557
player_rating_last_5,0.0007896681
player_rating_last,0.0007566612
player_map_kda_last_5,0.0007302164
player_map_rating_last,0.0007209953
role_matchup_rating_last_5,0.00072012737
missingindicator_player_agent_map_rating_last_5,0.00070475944
player_rating_last_3,0.00050815946
player_map_rating_last_3,0.00043540107
form_fallback_level_player-agent,0.00024432296
missingindicator_player_map_rating_last,0.00021022173
form_fallback_level_team-context,0.0
missingindicator_opponent_kda_last_5,0.0
form_fallback_level_global-mean,0.0
event_round___unknown__,0.0
event_stage___unknown__,0.0
form_fallback_level_player-map,0.0
missingindicator_lineup_continuity,0.0
missingindicator_team_strength_of_schedule,0.0
opponent_map_win_rate,0.0
missingindicator_role_matchup_rating_last_5,0.0
missingindicator_team_acs_last_5,0.0
missingindicator_team_kda_last_5,0.0
missingindicator_team_map_rating_last_5,0.0
missingindicator_team_map_win_rate,0.0
missingindicator_player_rating_last_5,0.0
missingindicator_player_rating_last_3,0.0
missingindicator_team_rating_last_10,0.0
missingindicator_team_rating_last_5,0.0
missingindicator_player_rating_long_term,0.0
missingindicator_player_rating_std,0.0
missingindicator_player_rest_days,0.0
missingindicator_player_role_acs_last_5,0.0
missingindicator_player_role_kda_last_5,0.0
missingindicator_player_role_map_rating_last_5,0.0
missingindicator_player_role_rating_last_5,0.0
missingindicator_player_rating_ewm_10,0.0
missingindicator_player_rating_ewm_3,0.0
missingindicator_player_rating_ewm_5,0.0
missingindicator_player_rating_fallback,0.0
missingindicator_player_rating_form_gap,0.0
missingindicator_player_acs_fallback,0.0
missingindicator_player_kda_ewm_3,0.0
missingindicator_player_kda_ewm_10,0.0
missingindicator_player_agent_rating_last_5,0.0
missingindicator_player_agent_kda_last_5,0.0
missingindicator_player_agent_acs_last_5,0.0
missingindicator_player_acs_long_term,0.0
missingindicator_player_acs_last_5,0.0
missingindicator_player_acs_ewm_3,0.0
missingindicator_player_acs_last_3,0.0
missingindicator_player_acs_last_10,0.0
missingindicator_player_acs_form_gap,0.0
missingindicator_player_kda_form_gap,0.0
missingindicator_player_kda_last_10,0.0
missingindicator_player_kda_fallback,0.0
missingindicator_player_kda_ewm_5,0.0
missingindicator_player_acs_ewm_10,0.0
missingindicator_player_acs_ewm_5,0.0
missingindicator_player_rating_last_10,0.0
missingindicator_player_rating_last,0.0
missingindicator_player_kda_last_5,0.0
missingindicator_player_kda_long_term,0.0
missingindicator_player_map_acs_last_5,0.0
missingindicator_player_kda_last_3,0.0
missingindicator_player_map_kda_last_5,0.0
missingindicator_player_map_rating_last_3,0.0
missingindicator_player_opponent_rating_last_5,0.0
player_cold_start,0.0
player_matches_last_14d,0.0
role_Controller,0.0
role_Sentinel,0.0
role_matchup_matches_played,0.0
