feature,importance_mean,importance_std,group
agent,2.2723066584269205,0.18340607961018662,agent
player_acs_long_term,1.429789835611981,0.029343465169272775,player_acs_long_term
elo_gap,0.31543193817138615,0.11316254933674941,elo_gap
player_agent_acs_last_5,0.27717130025228087,0.06751462300618627,player_agent_acs_last_5
player_acs_ewm_10,0.20523727416992443,0.03312136332193916,player_acs_ewm_10
player_acs_last_10,0.20153369903564666,0.058436164855958594,player_acs_last_10
player_matches_played,0.17937777201334626,0.01247861226399749,player_matches_played
match_month,0.08193876902262431,0.024259274800616737,match_month
player_acs_ewm_5,0.07768519083658987,0.03243965148925554,player_acs_ewm_5
opponent_elo,0.07697898864746122,0.04852757771809735,opponent_elo
player_map_acs_last_5,0.07526245117187358,0.0278472900390625,player_map_acs_last_5
team_pick,0.06006687164306612,0.005951983133954286,team
player_acs_ewm_3,0.05812452952067204,0.021355400085450782,player_acs_ewm_3
player_rating_last,0.04314628601074233,0.008176981608070122,player_rating_last
team_rating_last_10,0.02126694997151901,0.027082837422689465,team
player_map_matches_played,0.01642367045084825,0.00046440124511804015,player_map_matches_played
player_acs_last_5,0.011677767435710251,0.005971158345541738,player_acs_last_5
team_rating_last_5,0.008188184102376539,0.009753990173340554,team
player_kda_form_gap,0.007950693766275663,0.0039958953857421875,player_kda_form_gap
player_kda_last_10,0.004807688395182197,0.004186808268229925,player_kda_last_10
player_kda_last_3,0.002606315612794674,0.002606315612794674,player_kda_last_3
player_kda_last_5,0.002469558715819886,0.008683471679685084,player_kda_last_5
player_acs_form_gap,0.0023469034830725377,0.00042015075683821124,player_acs_form_gap
team,0.001836166381835369,0.0,team
player_kda_long_term,0.0017765045165987203,0.0005336252848309186,player_kda_long_term
player_map_kda_last_5,0.001552607218425095,0.0018804168701187507,player_map_kda_last_5
player_matches_last_30d,0.0010540771484386369,0.0010540771484386369,player_matches_last_30d
player_rating_last_10,0.0007904561360660978,0.0008028157552075754,player_rating_last_10
opponent_rating_last_10,0.0005205663045266817,0.017322909037272183,opponent_rating_last_10
region,0.0,0.0,region
match_year,0.0,0.0,match_year
event_round,0.0,0.0,event_round
player_kda_ewm_10,0.0,0.0,player_kda_ewm_10
event_stage,0.0,0.0,event_stage
opponent_team,0.0,0.0,opponent_team
player_map_rating_last,0.0,0.0,player_map_rating_last
player_rating_last_5,-4.389444987040747e-05,0.0009455108642590915,player_rating_last_5
player_rating_ewm_3,-0.0002480697631845885,0.0002875900268541898,player_rating_ewm_3
player_agent_rating_last_5,-0.0005914052327469221,0.004108886718746874,player_agent_rating_last_5
player_cold_start,-0.0006181971232095407,0.0007627487182588766,player_cold_start
player_rating_form_gap,-0.0006956863403324576,0.006821123758950165,player_rating_form_gap
match_dayofweek,-0.0008105850219735089,0.00576249440511134,match_dayofweek
player_matches_last_14d,-0.0008700815836562015,0.0,player_matches_last_14d
player_rating_std,-0.0013868459065768945,0.001959609985352273,player_rating_std
player_kda_ewm_3,-0.0015664545694988874,0.0005404281616208095,player_kda_ewm_3
player_agent_kda_last_5,-0.002077509562173674,0.01187637329101321,player_agent_kda_last_5
player_rating_long_term,-0.002117309570312642,0.003728281656901089,player_rating_long_term
player_rating_ewm_10,-0.0025859069824214487,0.001484959920244222,player_rating_ewm_10
player_kda_ewm_5,-0.002685368855793513,0.009849675496418797,player_kda_ewm_5
player_map_rating_last_3,-0.0039153162638356775,0.0012230555216490302,player_map_rating_last_3
player_matches_last_7d,-0.004097557067868962,0.00146147410074704,player_matches_last_7d
player_acs_last_3,-0.00418955485026018,0.0021379343668606055,player_acs_last_3
player_rest_days,-0.00799536387125599,0.02192310333252223,player_rest_days
player_rating_ewm_5,-0.008122736612953929,0.0013345336914056816,player_rating_ewm_5
player_form_trend,-0.01028228759765426,0.0014627583821607004,player_form_trend
player_rating_last_3,-0.011044553120932221,0.0033412806193027222,player_rating_last_3
map,-0.03476061503092254,0.0211721547444661,map
player_agent_matches_played,-0.0361901346842437,0.02759511311849039,player_agent_matches_played
team_elo,-0.04708024342854955,0.07366680145263516,team
opponent_rating_last_5,-0.04780779520670464,0.031562143961590294,opponent_rating_last_5
