agent,n,mae,rmse,r2,spearman
astra,640.0,0.5859784641839638,1.1910644880589163,-0.02919213006957433,0.17845941267752902
breach,627.0,0.5280790963066244,0.7561499939377335,-0.04210193718196331,0.21568370165703557
brimstone,395.0,0.5606714274849098,0.8034810592763565,-0.19383359331522243,0.15371491064175233
chamber,241.0,0.45178153597881515,0.5672012377617107,0.07119982180867024,0.2101985462399497
clove,29.0,0.37425963359882536,0.48086259517504365,-0.07260495550682355,0.12492300964103999
cypher,1173.0,0.4626627269507411,0.6362185823282545,-0.021020131508724393,0.15252390776683614
deadlock,115.0,0.4307622342369721,0.5417695050347816,-0.06599911999641672,0.15171986715900215
fade,1074.0,0.5044371627170642,0.809973010956924,-0.009743128861785522,0.19743364620352244
gekko,368.0,0.44554291854826217,0.5977969601210185,0.01325846494656946,0.18370726635657006
harbor,150.0,0.41684235689864924,0.5833984542816643,0.034481690713234814,0.1806074925797797
iso,91.0,0.4184871475162353,0.5740336674669517,0.03626183751455647,0.2782732142633623
jett,863.0,0.451102017042102,0.6271085508076055,0.03542520407167604,0.19219059033942895
kayo,630.0,0.5462845277979352,0.7667398431819539,-0.11639720471552839,0.1955787274907596
killjoy,668.0,0.44591718612608816,0.6846720599664341,0.024351908631357277,0.2293346691941895
neon,877.0,0.4456130547883688,0.5937027089122603,-0.039076198937039175,0.10986954966063552
omen,2249.0,0.5075789727696384,0.735896018697296,-0.057116184146729365,0.20356452277256037
phoenix,255.0,0.4757557820520623,0.7114333134620133,-0.06843491707462301,0.1192608329013543
raze,1169.0,0.4170682435043261,0.564673881974302,0.02073536142753518,0.19715269816397174
reyna,28.0,0.4711279280039739,0.6057997260437531,-0.004850920695026906,0.16860544841073702
sage,170.0,0.5218418265486844,0.7382643603073762,-0.05567215037168394,0.2131932114944995
skye,456.0,0.49001391765941754,0.7024697929804525,-0.029424068441360918,0.1699006631243769
sova,1501.0,0.5149550265561441,0.96649285969733,0.02988053374080557,0.2672550296795468
tejo,476.0,0.4659780432814715,0.6613920287779368,0.058014842202519734,0.29710674788011004
veto,33.0,0.5422787219847809,0.8125621273835375,-0.005317050921665345,0.1273608575369483
viper,1779.0,0.4744697967673428,0.6472435104237064,0.010969401100178078,0.20045227454093978
vyse,485.0,0.528961698910811,1.1866809643838852,0.008360484188352002,0.25611292895872306
waylay,363.0,0.4374611873268017,0.6081455874283058,-0.03330199393124378,0.13268202221464334
yoru,935.0,0.4591331415240356,0.6625334712125016,0.008709582221238188,0.18183893890713776
