map,n,mae,rmse,r2,spearman
Abyss,1300.0,0.5104165247154364,0.839245806717298,-0.011531032774471983,0.1589357219381379
Ascent,4030.0,0.494792348953416,0.7727339389682638,0.011350672480681223,0.26117446665010724
Bind,3090.0,0.4551782288895784,0.6468744367305143,-0.017338665072950565,0.1889792271673878
Breeze,1980.0,0.46935563463836427,0.6613861469110202,0.030735709840628345,0.24767695727689618
Corrode,950.0,0.47390835920914004,0.7780000587323259,0.045282542669431325,0.22539066706564242
Fracture,1850.0,0.48591039989709006,0.7144117627466631,-0.007928521865984361,0.2456179273932417
Haven,4450.0,0.49088257005238467,0.8243643006270153,0.007848194576421497,0.2365657432855126
Icebox,2460.0,0.5003258667087217,0.6936653208209751,0.02398404276136168,0.1973110917501668
Lotus,5820.0,0.4787099184217749,0.6918595302687002,0.019759194818326442,0.25550531254989617
Pearl,2570.0,0.4642895010329253,0.7211815268541207,0.041749699466808954,0.30294023310201684
Split,4540.0,0.47658824411260436,0.7070948641155831,0.0012602053023514914,0.21420561514926825
Summit,510.0,0.5270524611311631,0.9209292371330788,0.019130001616935788,0.2642801133878224
Sunset,2750.0,0.4761579969078432,0.6548768698833631,-0.02119140535981323,0.17125679626229198
