group,importance
opponent_team,0.22108997
team,0.22098234
elo_gap,0.06919471
agent,0.038135365
opponent_elo,0.02820212
player_history_sample_size,0.022104105
veterans_remaining,0.018686347
form_fallback_level_opponent-context,0.016643615
player_kda_long_term,0.015402613
player_rest_days,0.015105165
missingindicator_opponent_rating_last_5,0.014972784
player_acs_fallback,0.014339189
player_kda_last_10,0.014277615
missingindicator_opponent_rating_last_10,0.013752933
missingindicator_opponent_map_strength,0.012186049
missingindicator_opponent_acs_last_5,0.01191358
player_kda_ewm_10,0.011166956
map,0.010405609
player_kda_fallback,0.0100225145
player_agent_kda_last_5,0.009866273
player_kda_ewm_3,0.009825248
player_rating_long_term,0.008851417
role_Controller,0.008538117
player_form_trend,0.0077988757
player_kda_ewm_5,0.007511983
role_Sentinel,0.007411739
player_rating_ewm_10,0.007350681
lineup_continuity,0.0070844437
role_Duelist,0.006790972
opponent_rating_last_10,0.0066607385
player_role_kda_last_5,0.0064153196
player_map_kda_last_5,0.0059467703
match_year,0.005656674
player_matches_played,0.0056297127
missingindicator_team_roster_synergy,0.0053825136
player_role_matches_played,0.005303487
opponent_kda_last_5,0.0053026397
match_month,0.0052924734
role_Initiator,0.0050815525
player_map_matches_played,0.0049354457
player_kda_last_5,0.0049212486
opponent_rating_last_5,0.004840685
opponent_map_matches,0.00458355
player_opponent_matches_played,0.0044110497
player_kda_last_3,0.0044072904
opponent_acs_last_5,0.004325465
region_PACIFIC,0.004320103
player_matches_last_30d,0.0037227375
player_opponent_rating_last_5,0.0034236512
player_acs_ewm_10,0.0032288164
player_acs_long_term,0.0031613081
player_acs_last_10,0.003035801
player_kda_form_gap,0.0029050966
player_matches_last_7d,0.0027520622
player_rating_last_10,0.002638837
player_matches_last_14d,0.0025446406
opponent_map_strength,0.0023788856
region_AMERICAS,0.0021424233
match_dayofweek,0.0017867833
player_acs_last_5,0.0016392904
player_rating_form_gap,0.0014710409
player_rating_fallback,0.0013102017
player_rating_std,0.0010580056
player_role_acs_last_5,0.0009105934
player_agent_matches_played,0.0008176225
player_rating_ewm_5,0.00071624113
player_acs_form_gap,0.00068780984
player_acs_last_3,0.0005334029
player_agent_rating_last_5,0.00047025335
player_rating_last_3,0.00045159453
player_map_rating_last_3,0.00045032497
form_fallback_level_player-agent,0.00044835138
player_map_acs_last_5,0.00036544004
player_role_map_rating_last_5,0.00034093802
role_matchup_rating_last_5,0.00031033633
player_map_rating_last,0.000297609
player_agent_acs_last_5,0.00027438457
player_rating_last_5,0.0002567321
player_agent_map_rating_last_5,0.00024725002
player_rating_last,0.00019146153
event_round___unknown__,0.0
form_fallback_level_global-mean,0.0
form_fallback_level_player-global,0.0
form_fallback_level_team-context,0.0
form_fallback_level_player-role,0.0
form_fallback_level_player-map,0.0
event_stage___unknown__,0.0
missingindicator_opponent_map_win_rate,0.0
missingindicator_opponent_kda_last_5,0.0
missingindicator_lineup_continuity,0.0
player_acs_ewm_3,0.0
missingindicator_team_rating_last_10,0.0
missingindicator_team_strength_of_schedule,0.0
opponent_map_win_rate,0.0
missingindicator_team_rating_last_5,0.0
player_acs_ewm_5,0.0
missingindicator_player_role_map_rating_last_5,0.0
missingindicator_player_role_rating_last_5,0.0
missingindicator_role_matchup_rating_last_5,0.0
missingindicator_team_acs_last_5,0.0
missingindicator_team_kda_last_5,0.0
missingindicator_team_map_rating_last_5,0.0
missingindicator_team_map_win_rate,0.0
missingindicator_player_rating_last_5,0.0
missingindicator_player_rating_last_3,0.0
missingindicator_player_rating_std,0.0
missingindicator_player_rating_long_term,0.0
missingindicator_player_rating_last_10,0.0
missingindicator_player_rating_last,0.0
missingindicator_player_rest_days,0.0
missingindicator_player_role_acs_last_5,0.0
missingindicator_player_role_kda_last_5,0.0
missingindicator_player_map_rating_last_3,0.0
missingindicator_player_opponent_rating_last_5,0.0
missingindicator_player_rating_ewm_10,0.0
missingindicator_player_rating_ewm_3,0.0
missingindicator_player_rating_ewm_5,0.0
missingindicator_player_rating_fallback,0.0
missingindicator_player_rating_form_gap,0.0
missingindicator_player_kda_ewm_5,0.0
missingindicator_player_kda_ewm_3,0.0
missingindicator_player_kda_ewm_10,0.0
missingindicator_player_agent_rating_last_5,0.0
missingindicator_player_agent_map_rating_last_5,0.0
missingindicator_player_agent_kda_last_5,0.0
missingindicator_player_agent_acs_last_5,0.0
missingindicator_player_acs_long_term,0.0
missingindicator_player_acs_last_5,0.0
missingindicator_player_acs_last_3,0.0
missingindicator_player_kda_long_term,0.0
missingindicator_player_kda_last_5,0.0
missingindicator_player_kda_last_3,0.0
missingindicator_player_kda_last_10,0.0
missingindicator_player_kda_form_gap,0.0
missingindicator_player_kda_fallback,0.0
missingindicator_player_acs_fallback,0.0
missingindicator_player_acs_ewm_5,0.0
missingindicator_player_acs_last_10,0.0
missingindicator_player_acs_form_gap,0.0
missingindicator_player_acs_ewm_3,0.0
missingindicator_player_acs_ewm_10,0.0
missingindicator_player_map_acs_last_5,0.0
missingindicator_player_map_kda_last_5,0.0
missingindicator_player_map_rating_last,0.0
player_cold_start,0.0
player_rating_ewm_3,0.0
player_role_rating_last_5,0.0
region_EMEA,0.0
player_role_share,0.0
role_confidence,0.0
role_matchup_matches_played,0.0
