n,mae,rmse,r2,spearman,target,model,split,candidate,n_windows,mae_std,baseline_mae,mae_improvement_vs_global_mean
10642.0,0.2821499670297888,0.3568621497531145,0.1820251249644873,0.4183611293598998,rating2_all,xgb_raw,rolling_1,,,,,
10642.0,0.3120893558326979,0.3946985818344218,-0.0006221706531726046,,rating2_all,global_mean,rolling_1,xgb_raw,,,,
10649.0,0.2649108563259584,0.3346352716689746,0.24516962023026567,0.47582282432559925,rating2_all,xgb_raw,rolling_2,,,,,
10649.0,0.3039654461636325,0.38523368418435666,-0.0003556949806278187,,rating2_all,global_mean,rolling_2,xgb_raw,,,,
11270.0,0.25520921240216776,0.3223155128809367,0.10380614431557611,0.30436413361175413,rating2_all,xgb_raw,rolling_3,,,,,
11270.0,0.26823917199443775,0.34060402566617354,-0.0007811083421371823,,rating2_all,global_mean,rolling_3,xgb_raw,,,,
10642.0,0.28296534416180896,0.35775154173239593,0.17794283799598865,0.4137620525983691,rating2_all,xgb_tuned_raw,rolling_1,,,,,
10642.0,0.3120893558326979,0.3946985818344218,-0.0006221706531726046,,rating2_all,global_mean,rolling_1,xgb_tuned_raw,,,,
10649.0,0.26617348874496266,0.3362588211312741,0.23782743337605583,0.4698491721667136,rating2_all,xgb_tuned_raw,rolling_2,,,,,
10649.0,0.3039654461636325,0.38523368418435666,-0.0003556949806278187,,rating2_all,global_mean,rolling_2,xgb_tuned_raw,,,,
11270.0,0.2562238082204546,0.32339728432214976,0.09778034795445034,0.2958010980375087,rating2_all,xgb_tuned_raw,rolling_3,,,,,
11270.0,0.26823917199443775,0.34060402566617354,-0.0007811083421371823,,rating2_all,global_mean,rolling_3,xgb_tuned_raw,,,,
,0.26742334525263833,0.33793764476767524,,,rating2_all,xgb_raw,rolling_mean,,3.0,0.011141080600834546,0.29476465799692275,0.02734131274428442
,0.26845421370907546,0.33913588239527326,,,rating2_all,xgb_tuned_raw,rolling_mean,,3.0,0.011035660859146047,0.29476465799692275,0.02631044428784729
16958.0,0.26075695881138705,0.32881766121693107,0.09621473308791761,0.29387653528954333,rating2_all,rf_raw,validation,,,,,
16958.0,0.2599155834946012,0.3278353077375897,0.1016068423673061,0.3012786576631164,rating2_all,xgb_raw,validation,,,,,
16958.0,0.2605855074147034,0.32852536029139756,0.09782085028642162,0.29504245557028724,rating2_all,xgb_tuned_raw,validation,,,,,
17840.0,0.25720582013814436,0.32644301589851143,0.03234818812934459,0.19871150819968816,rating2_all,xgb_raw,test,,,,,
16958.0,0.2726630364152021,0.34600577235332686,-0.0007409551994086438,,rating2_all,global_mean,validation,,,,,
16958.0,0.27304222196013683,0.3471788564865662,-0.007538202483754475,,rating2_all,global_median,validation,,,,,
16958.0,0.27564684317954774,0.348362882207576,-0.014422178028623556,0.19934714862932354,rating2_all,player_historical_mean,validation,,,,,
16958.0,0.2991903236176796,0.3790301545194343,-0.2008880147034764,0.16536798524164506,rating2_all,player_rolling_mean,validation,,,,,
16958.0,0.28077183055771193,0.35364575436048157,-0.0454225954219829,0.19663052767512496,rating2_all,elo_only,validation,,,,,
16958.0,0.2745274217180627,0.34552793112108676,0.0020212246860285,0.21448392906174427,rating2_all,team_opponent_historical,validation,,,,,
17840.0,0.26172455786483406,0.3318768649893134,-0.00013427056536241544,,rating2_all,global_mean,test,,,,,
17840.0,0.2615885650224215,0.3322505639118329,-0.0023878746132239836,,rating2_all,global_median,test,,,,,
17840.0,0.2681777170994511,0.3397219035958275,-0.04797627064477927,0.1461734303333209,rating2_all,player_historical_mean,test,,,,,
17840.0,0.29356445681402155,0.37090709884200573,-0.24920766972418473,0.10753854371631116,rating2_all,player_rolling_mean,test,,,,,
17840.0,0.2699805842956684,0.34137105483119784,-0.058175590833310364,0.13460667507796517,rating2_all,elo_only,test,,,,,
17840.0,0.26687329062537585,0.3373942829753536,-0.033664948987835785,0.14118245619206118,rating2_all,team_opponent_historical,test,,,,,
10642.0,47.793193028533715,60.33274031442866,0.18087515078262517,0.4015171206089186,acs_all,xgb_raw,rolling_1,,,,,
10642.0,52.7595921271532,66.81381987138003,-0.004561667050478446,,acs_all,global_mean,rolling_1,xgb_raw,,,,
10649.0,45.686809324504,57.78676620845522,0.19938905389095662,0.4282759006123399,acs_all,xgb_raw,rolling_2,,,,,
10649.0,51.17026786243891,64.67517420548938,-0.00285918052406986,,acs_all,global_mean,rolling_2,xgb_raw,,,,
11270.0,43.10599098374808,54.56351042003831,0.15528426733092282,0.3739933139449282,acs_all,xgb_raw,rolling_3,,,,,
11270.0,47.08021840172415,59.393062915865066,-0.0008694216852029868,,acs_all,global_mean,rolling_3,xgb_raw,,,,
10642.0,47.87240641665087,60.465185604546434,0.17727483997034132,0.39715687971537134,acs_all,xgb_tuned_raw,rolling_1,,,,,
10642.0,52.7595921271532,66.81381987138003,-0.004561667050478446,,acs_all,global_mean,rolling_1,xgb_tuned_raw,,,,
10649.0,45.97190452788467,58.080001361063104,0.19124314284716193,0.4207644429681032,acs_all,xgb_tuned_raw,rolling_2,,,,,
10649.0,51.17026786243891,64.67517420548938,-0.00285918052406986,,acs_all,global_mean,rolling_2,xgb_tuned_raw,,,,
11270.0,43.24847512300182,54.74058514664019,0.14979266613539344,0.36743967589307214,acs_all,xgb_tuned_raw,rolling_3,,,,,
11270.0,47.08021840172415,59.393062915865066,-0.0008694216852029868,,acs_all,global_mean,rolling_3,xgb_tuned_raw,,,,
,45.52866444559527,57.561005647640734,,,acs_all,xgb_raw,rolling_mean,,3.0,1.9168069115422928,50.33669279710542,4.808028351510153
,45.697595355845785,57.76192403741658,,,acs_all,xgb_tuned_raw,rolling_mean,,3.0,1.8976510556466448,50.33669279710542,4.639097441259636
16958.0,44.00467219996712,55.77655645268759,0.1337111199000891,0.3508562593937839,acs_all,rf_raw,validation,,,,,
16958.0,43.65360396779192,55.385537068506046,0.14581471391854695,0.3641288260247369,acs_all,xgb_raw,validation,,,,,
16958.0,43.73477023484952,55.48755068277511,0.14266519935785438,0.3603174834793374,acs_all,xgb_tuned_raw,validation,,,,,
17840.0,43.30794261881054,54.8514004296237,0.09963626569932293,0.3030308103425061,acs_all,xgb_raw,test,,,,,
16958.0,47.404678965502136,59.94411040484183,-0.0005813006583499369,,acs_all,global_mean,validation,,,,,
16958.0,47.20261823328223,60.024883781284544,-0.0032796402058423713,,acs_all,global_median,validation,,,,,
16958.0,47.991332679428986,60.95969110282405,-0.03477245298495091,0.258353484056703,acs_all,player_historical_mean,validation,,,,,
16958.0,47.991332679428986,60.95969110282405,-0.03477245298495091,0.258353484056703,acs_all,player_rolling_mean,validation,,,,,
16958.0,47.981225398121005,60.507483201548055,-0.019477208675227065,0.13268209246209964,acs_all,elo_only,validation,,,,,
16958.0,47.46956836563639,59.85242068333514,0.0024773102952563297,0.14497029971500372,acs_all,team_opponent_historical,validation,,,,,
17840.0,46.21121959502379,58.06145483994214,-0.008830911212410308,,acs_all,global_mean,test,,,,,
17840.0,45.76603139013453,57.81265940470085,-0.00020368096809519898,,acs_all,global_median,test,,,,,
17840.0,46.909113448177074,59.367244638347756,-0.054717954586880335,0.2287508212529495,acs_all,player_historical_mean,test,,,,,
17840.0,46.909113448177074,59.367244638347756,-0.054717954586880335,0.2287508212529495,acs_all,player_rolling_mean,test,,,,,
17840.0,46.9484083636517,58.863500238855174,-0.03689485597608777,0.0866240042552437,acs_all,elo_only,test,,,,,
17840.0,46.68803348249321,58.52913221867862,-0.025148365561312724,0.09077838769016246,acs_all,team_opponent_historical,test,,,,,
10639.0,0.5948247850558229,1.0810110250269305,0.1362782808136167,0.46335164560032666,kda_all,xgb_huber_log,rolling_1,,,,,
10639.0,0.6884042501351862,1.1636292607566,-0.0007897784802968211,,kda_all,global_mean,rolling_1,xgb_huber_log,,,,
10647.0,0.5228814571355292,0.8564860583236362,0.24156570739312744,0.5470992769111527,kda_all,xgb_huber_log,rolling_2,,,,,
10647.0,0.6483068811396502,0.9834977987051015,-5.5608460449052544e-05,,kda_all,global_mean,rolling_2,xgb_huber_log,,,,
