agent,n,mae,rmse,r2,spearman
astra,1320.0,0.24870014864363937,0.3158738080363663,-0.005441178118475998,0.14806449140249467
breach,1270.0,0.2413340819294222,0.29907829033580036,0.0566581520494861,0.2398376543678913
brimstone,828.0,0.24597892050466286,0.3156087688026037,-0.009141665462837345,0.1862775624799237
chamber,577.0,0.2574036183288589,0.3199325461569663,-0.0034882790858568047,0.15308710037364995
clove,54.0,0.2833482075008546,0.361139756721079,-0.04566322763076203,0.10351335697321208
cypher,2068.0,0.25405472194661627,0.31933372771538404,-0.03640908026649359,0.09656542961063276
deadlock,228.0,0.24885978657065105,0.32607456668736,-0.05399200863302145,0.12002423153644691
fade,1981.0,0.24977993898195067,0.31504613908283147,0.0206097547152978,0.1833077650855272
gekko,604.0,0.24975639254908744,0.31464464340607523,0.015829646374748485,0.21845125364011805
harbor,563.0,0.2541339128664615,0.3212127585315952,0.021929361218029575,0.26353028888178154
iso,145.0,0.25679248266516297,0.32923521202519934,0.031400006815507475,0.18288262401150632
jett,2246.0,0.2806332835201584,0.3531995482512337,0.02357168875762916,0.17834182451928715
kayo,1352.0,0.2541358985440355,0.31859938189382364,0.038269174529630745,0.21411350590753467
killjoy,2000.0,0.25054017704091536,0.31688868167441847,0.016361138919844587,0.17105684132446702
miks,1.0,0.07969645359000688,0.07969645359000688,,
neon,1968.0,0.27214891777690403,0.3459522042920285,-0.002042323888288733,0.1421416290374358
omen,4363.0,0.2496561523523432,0.31494497946364497,0.020908740386822777,0.18629285252599115
phoenix,608.0,0.26776554757896487,0.3374591233824764,0.023257810756743935,0.2065563682643888
raze,2376.0,0.2694176469010214,0.34117304688658734,0.01951371608071517,0.18653450819628353
reyna,50.0,0.2798782379362215,0.35417709093450617,0.060075572678857436,0.32145260727767844
sage,437.0,0.2467447546583359,0.3186642951484644,0.018116396365068677,0.19228776626537925
skye,1352.0,0.2456573012368683,0.31286665009737274,0.013597589684996692,0.18026425260143722
sova,2972.0,0.2508319350569274,0.31955945719564877,0.052952614030399636,0.2436080962637125
tejo,693.0,0.26112013930475025,0.33098340491587347,0.03515736810029235,0.21796696393926318
veto,77.0,0.2892191597402808,0.39016586921575386,0.034575994028465784,0.2122415184682052
viper,3424.0,0.2506362319691027,0.3156535559615866,0.018011914653848993,0.1802977011943371
vyse,784.0,0.24952877571818705,0.3225012697384664,0.03159102009702297,0.20633286451057922
waylay,558.0,0.28057387152336816,0.3456322437486899,-0.010022353338210443,0.20774749644788043
yoru,1401.0,0.2815443741782928,0.35869596038793805,-0.016635146418165103,0.12714565028508465
