map,n,mae,rmse,r2,spearman
Abyss,1300.0,0.2724072709667655,0.34537489312089487,-0.008025840198310874,0.13625918602160358
Ascent,4030.0,0.2542924736947316,0.32394365568437405,0.02957667119538232,0.20736860877414526
Bind,3090.0,0.2488673160934863,0.31611457249242236,0.01604604545539201,0.17882999820674086
Breeze,1980.0,0.2618403987762554,0.33149860578703644,0.02538689152213891,0.19936598228188174
Corrode,950.0,0.25357062542965864,0.3181099111091931,0.03185274622227707,0.19301626430028235
Fracture,1850.0,0.25412582101067177,0.3217770595516472,0.026339898096762404,0.18000754968026272
Haven,4450.0,0.2584333050856655,0.327102581800926,0.03008623413376721,0.20679474789035882
Icebox,2460.0,0.2715206503861234,0.33939102469640986,0.03458660855843965,0.19150391426264113
Lotus,5820.0,0.254289470411169,0.32089845337267064,0.03929683766991443,0.2236708891887589
Pearl,2570.0,0.25197303336600324,0.3203732117159196,0.04754013751297914,0.23896234141341197
Split,4540.0,0.25252386394874915,0.3200650015118673,0.019766231508324572,0.19038999601572032
Summit,510.0,0.2703870964847047,0.35073068346527764,0.03869775906586348,0.21679863918552536
Sunset,2750.0,0.25942230887761714,0.32636213056087365,-0.001044845538550998,0.15641104908622933
