group,importance
team,0.19177683
opponent_team,0.12698832
elo_gap,0.07589529
agent,0.066506036
opponent_elo,0.029506946
player_rating_ewm_10,0.027948085
player_acs_long_term,0.026545806
veterans_remaining,0.024451902
player_rating_long_term,0.022911243
player_agent_acs_last_5,0.01847481
player_history_sample_size,0.01809692
player_acs_fallback,0.017324021
form_fallback_level_opponent-context,0.016638398
player_acs_ewm_10,0.015864369
map,0.015102567
missingindicator_opponent_rating_last_5,0.014538736
role_Duelist,0.013881696
player_acs_last_10,0.013839822
player_matches_played,0.0133394385
missingindicator_opponent_rating_last_10,0.01320212
missingindicator_opponent_map_strength,0.012374254
role_Initiator,0.012090902
player_role_acs_last_5,0.011500643
missingindicator_opponent_map_win_rate,0.010960929
player_role_matches_played,0.009302742
player_rating_last_10,0.009075723
player_rest_days,0.008969325
missingindicator_team_roster_synergy,0.007897402
player_agent_rating_last_5,0.0062862867
player_kda_long_term,0.0059999707
role_confidence,0.0058126324
lineup_continuity,0.0055770883
player_map_matches_played,0.005266595
player_role_map_rating_last_5,0.005076742
opponent_kda_last_5,0.005034467
opponent_rating_last_10,0.0049839234
match_year,0.0045840866
player_kda_ewm_3,0.0045792772
opponent_map_matches,0.0045671267
player_rating_ewm_5,0.0043948246
player_acs_last_5,0.0042211367
player_map_acs_last_5,0.004067348
player_agent_matches_played,0.0038196486
player_matches_last_30d,0.0036905378
player_rating_ewm_3,0.003634849
player_rating_fallback,0.0033583876
player_opponent_rating_last_5,0.003339841
player_kda_ewm_5,0.0033236197
player_map_rating_last_3,0.003320516
match_month,0.0032031727
opponent_rating_last_5,0.0031995166
opponent_map_strength,0.002938024
player_role_kda_last_5,0.0028851114
opponent_acs_last_5,0.0028106403
match_dayofweek,0.0026843965
player_rating_last_3,0.0026583476
player_role_rating_last_5,0.0025139616
player_agent_map_rating_last_5,0.0023065112
missingindicator_team_map_rating_last_5,0.0022819114
region_EMEA,0.0022215564
player_acs_ewm_3,0.002105835
player_kda_last_3,0.0020220843
player_rating_last_5,0.00198948
player_kda_form_gap,0.0019805788
player_form_trend,0.0017891449
player_kda_fallback,0.0017331162
region_AMERICAS,0.0017201633
player_kda_last_5,0.0015302531
player_acs_last_3,0.0015063157
player_acs_form_gap,0.0013965688
player_opponent_matches_played,0.0012455257
form_fallback_level_player-global,0.0012082311
player_role_share,0.0012069124
player_matches_last_14d,0.0011119255
player_rating_form_gap,0.0010037126
player_kda_ewm_10,0.0009084579
player_map_kda_last_5,0.00090311107
player_rating_last,0.00081311056
player_rating_std,0.00077435287
opponent_map_win_rate,0.00073907035
role_matchup_rating_last_5,0.0006797752
player_kda_last_10,0.0006666953
player_agent_kda_last_5,0.00040986523
player_map_rating_last,0.00037176942
role_Controller,0.00035807118
form_fallback_level_player-agent,0.00017853244
event_round___unknown__,0.0
missingindicator_opponent_acs_last_5,0.0
missingindicator_lineup_continuity,0.0
missingindicator_opponent_kda_last_5,0.0
form_fallback_level_player-role,0.0
form_fallback_level_player-map,0.0
form_fallback_level_team-context,0.0
form_fallback_level_global-mean,0.0
event_stage___unknown__,0.0
player_acs_ewm_5,0.0
missingindicator_team_strength_of_schedule,0.0
missingindicator_team_rating_last_10,0.0
missingindicator_player_role_map_rating_last_5,0.0
missingindicator_role_matchup_rating_last_5,0.0
missingindicator_team_acs_last_5,0.0
missingindicator_team_kda_last_5,0.0
missingindicator_team_map_win_rate,0.0
missingindicator_player_rating_last_10,0.0
missingindicator_player_rating_last_3,0.0
missingindicator_player_rating_last,0.0
missingindicator_team_rating_last_5,0.0
missingindicator_player_rating_long_term,0.0
missingindicator_player_rating_std,0.0
missingindicator_player_rest_days,0.0
missingindicator_player_rating_last_5,0.0
missingindicator_player_role_acs_last_5,0.0
missingindicator_player_role_kda_last_5,0.0
missingindicator_player_role_rating_last_5,0.0
missingindicator_player_rating_ewm_10,0.0
missingindicator_player_rating_ewm_3,0.0
missingindicator_player_rating_ewm_5,0.0
missingindicator_player_rating_fallback,0.0
missingindicator_player_rating_form_gap,0.0
missingindicator_player_kda_ewm_5,0.0
missingindicator_player_kda_ewm_3,0.0
missingindicator_player_kda_ewm_10,0.0
missingindicator_player_agent_rating_last_5,0.0
missingindicator_player_agent_map_rating_last_5,0.0
missingindicator_player_agent_kda_last_5,0.0
missingindicator_player_agent_acs_last_5,0.0
missingindicator_player_acs_long_term,0.0
missingindicator_player_acs_last_5,0.0
missingindicator_player_acs_last_3,0.0
missingindicator_player_acs_last_10,0.0
missingindicator_player_acs_form_gap,0.0
missingindicator_player_acs_fallback,0.0
missingindicator_player_kda_last_10,0.0
missingindicator_player_kda_form_gap,0.0
missingindicator_player_kda_fallback,0.0
missingindicator_player_acs_ewm_3,0.0
missingindicator_player_acs_ewm_5,0.0
missingindicator_player_acs_ewm_10,0.0
missingindicator_player_kda_last_3,0.0
missingindicator_player_kda_last_5,0.0
missingindicator_player_kda_long_term,0.0
missingindicator_player_map_acs_last_5,0.0
missingindicator_player_map_kda_last_5,0.0
missingindicator_player_map_rating_last,0.0
missingindicator_player_map_rating_last_3,0.0
missingindicator_player_opponent_rating_last_5,0.0
player_cold_start,0.0
player_matches_last_7d,0.0
region_PACIFIC,0.0
role_Sentinel,0.0
role_matchup_matches_played,0.0
