feature,importance,group
numeric__elo_gap,0.07589529,elo_gap
numeric__team_elo,0.02988633,team
numeric__opponent_elo,0.029506946,opponent_elo
numeric__player_rating_ewm_10,0.027948085,player_rating_ewm_10
numeric__player_acs_long_term,0.026545806,player_acs_long_term
numeric__veterans_remaining,0.024451902,veterans_remaining
numeric__player_rating_long_term,0.022911243,player_rating_long_term
numeric__player_agent_acs_last_5,0.01847481,player_agent_acs_last_5
numeric__player_history_sample_size,0.01809692,player_history_sample_size
numeric__player_acs_fallback,0.017324021,player_acs_fallback
categorical__form_fallback_level_opponent-context,0.016638398,form_fallback_level_opponent-context
numeric__player_acs_ewm_10,0.015864369,player_acs_ewm_10
numeric__missingindicator_opponent_rating_last_5,0.014538736,missingindicator_opponent_rating_last_5
categorical__role_Duelist,0.013881696,role_Duelist
numeric__player_acs_last_10,0.013839822,player_acs_last_10
numeric__player_matches_played,0.0133394385,player_matches_played
numeric__missingindicator_opponent_rating_last_10,0.01320212,missingindicator_opponent_rating_last_10
numeric__missingindicator_opponent_map_strength,0.012374254,missingindicator_opponent_map_strength
categorical__role_Initiator,0.012090902,role_Initiator
numeric__player_role_acs_last_5,0.011500643,player_role_acs_last_5
numeric__missingindicator_opponent_map_win_rate,0.010960929,missingindicator_opponent_map_win_rate
categorical__agent_sova,0.01040678,agent
categorical__agent_chamber,0.009884663,agent
numeric__player_role_matches_played,0.009302742,player_role_matches_played
numeric__player_rating_last_10,0.009075723,player_rating_last_10
categorical__agent_skye,0.00905657,agent
numeric__player_rest_days,0.008969325,player_rest_days
categorical__team_pick_Decider,0.007967814,team
numeric__missingindicator_team_roster_synergy,0.007897402,missingindicator_team_roster_synergy
categorical__agent_sage,0.0068596876,agent
categorical__agent_cypher,0.0063580135,agent
numeric__player_agent_rating_last_5,0.0062862867,player_agent_rating_last_5
categorical__agent_omen,0.006196839,agent
numeric__player_kda_long_term,0.0059999707,player_kda_long_term
numeric__role_confidence,0.0058126324,role_confidence
categorical__agent_breach,0.005716056,agent
